sentence_id,original_word,proposed_word,final_word,action,rule,timestamp
3,kabuoan,kaboan,kabuoan,REJECT,UO_TO_O,2026-02-16T01:58:24.799Z
16,canonigo,kanonigo,kanonigo,APPROVE,C_TO_K,2026-02-16T01:58:30.012Z
16,quibus,kibus,quibus,REJECT,QU_TO_K,2026-02-16T01:58:36.779Z
35,Calipso,Kalipso,Kalipso,APPROVE,C_TO_K,2026-02-16T01:59:09.528Z
35,quevedo,kevedo,quevedo,REJECT,QU_TO_K,2026-02-16T02:00:18.467Z
59,chaqueta,chaketa,chaqueta,REJECT,QU_TO_K,2026-02-16T02:01:15.410Z
83,Coliseo,Koliseo,Coliseo,REJECT,C_TO_K,2026-02-16T02:01:22.491Z
104,escotilla,eskotilla,eskotilya,EDIT,C_TO_K,2026-02-16T02:01:35.213Z
179,clasico,clasiko,klasiko,EDIT,C_TO_K,2026-02-16T02:01:45.261Z
182,clasico,clasiko,klasiko,EDIT,C_TO_K,2026-02-16T02:02:01.459Z
182,epicureo,epikureo,epikureo,APPROVE,C_TO_K,2026-02-16T02:02:07.130Z
185,castaño,kastaño,castaño,REJECT,C_TO_K,2026-02-16T02:02:41.145Z
202,nequiores,nekiores,nequiores,REJECT,QU_TO_K,2026-02-16T02:02:46.738Z
236,curato,kurato,kurato,APPROVE,C_TO_K,2026-02-16T02:02:49.941Z
236,curato,kurato,kurato,APPROVE,C_TO_K,2026-02-16T02:02:51.866Z
281,Pacifico,Pacifiko,Pasipiko,EDIT,C_TO_K,2026-02-16T02:03:03.305Z
310,nagsuot,nagsot,nagsuot,REJECT,UO_TO_O,2026-02-16T02:03:21.400Z
323,Nagsuot,Nagsot,Nagsuot,REJECT,UO_TO_O,2026-02-16T02:03:23.652Z
338,eclesiastico,eclesiastiko,eklesyastiko,EDIT,C_TO_K,2026-02-16T02:03:35.875Z
341,muog,mog,muog,REJECT,UO_TO_O,2026-02-16T02:03:51.295Z
353,calendaryo,kalendaryo,kalendaryo,APPROVE,C_TO_K,2026-02-16T02:03:57.143Z
353,Confusio,Konfusio,Confusio,REJECT,C_TO_K,2026-02-16T02:03:59.063Z
406,canon,kanon,kanyon,EDIT,C_TO_K,2026-02-16T02:04:21.611Z
413,chaqueta,chaketa,chaketa,APPROVE,QU_TO_K,2026-02-16T02:06:05.337Z
414,Cabecera,Kabecera,Kabesera,EDIT,C_TO_K,2026-02-16T02:06:13.535Z
417,magsusuot,magsusot,magsusuot,REJECT,UO_TO_O,2026-02-16T02:06:20.711Z
417,cola,kola,cola,REJECT,C_TO_K,2026-02-16T02:06:31.629Z
420,caldero,kaldero,kaldero,APPROVE,C_TO_K,2026-02-16T02:06:33.229Z
421,canon,kanon,kanyon,EDIT,C_TO_K,2026-02-16T02:06:39.491Z
432,nanuod,nanod,nanuod,REJECT,UO_TO_O,2026-02-16T02:06:44.473Z
440,procurador,prokurador,prokurador,APPROVE,C_TO_K,2026-02-16T02:06:52.791Z
445,caldero,kaldero,kaldero,APPROVE,C_TO_K,2026-02-16T02:06:54.638Z
448,cabecera,kabecera,kabesera,EDIT,C_TO_K,2026-02-16T02:06:59.255Z
504,Compañia,Kompañia,Compañia,REJECT,C_TO_K,2026-02-16T02:07:04.393Z
547,comandante,komandante,komandante,APPROVE,C_TO_K,2026-02-16T02:07:47.467Z
568,Carpio,Karpio,Carpio,REJECT,C_TO_K,2026-02-16T02:07:51.020Z
575,requiem,rekiem,requiem,REJECT,QU_TO_K,2026-02-16T02:07:56.940Z
610,magtuos,magtos,magtuos,REJECT,UO_TO_O,2026-02-16T02:07:58.534Z
614,magtuos,magtos,magtuos,REJECT,UO_TO_O,2026-02-16T02:07:59.594Z
648,muog,mog,muog,REJECT,UO_TO_O,2026-02-16T02:08:00.825Z
649,binubuo,binubo,binubuo,REJECT,UO_TO_O,2026-02-16T02:08:02.505Z
664,kasuotang,kasotang,kasuotang,REJECT,UO_TO_O,2026-02-16T02:08:04.172Z
676,buong-buo,bong-bo,buong-buo,REJECT,UO_TO_O,2026-02-16T02:08:05.849Z
722,pagsusuot,pagsusot,pagsusuot,REJECT,UO_TO_O,2026-02-16T02:08:07.517Z
836,pagkabuo,pagkabo,pagkabuo,REJECT,UO_TO_O,2026-02-16T02:08:09.093Z
877,quos,qos,quos,REJECT,UO_TO_O,2026-02-16T02:08:11.395Z
877,Seneca,Seneka,Seneca,REJECT,C_TO_K,2026-02-16T02:08:13.532Z
880,quem,kem,quem,REJECT,QU_TO_K,2026-02-16T02:08:14.693Z
940,isinusuot,isinusot,isinusuot,REJECT,UO_TO_O,2026-02-16T02:08:16.398Z
974,contigo,kontigo,contigo,REJECT,C_TO_K,2026-02-16T02:08:30.486Z
974,pecadores,pekadores,pekadores,APPROVE,C_TO_K,2026-02-16T02:08:34.787Z
1010,pasuotsuot,pasotsot,pasuotsuot,REJECT,UO_TO_O,2026-02-16T02:08:36.258Z
1011,muog,mog,muog,REJECT,UO_TO_O,2026-02-16T02:08:37.290Z
1011,Cartago,Kartago,Kartago,APPROVE,C_TO_K,2026-02-16T02:08:44.808Z
1012,Cannes,Kannes,Cannes,REJECT,C_TO_K,2026-02-16T02:08:49.495Z
1017,reliquias,relikias,relikyas,EDIT,QU_TO_K,2026-02-16T02:09:02.915Z
1053,Golconda,Golkonda,Golconda,REJECT,C_TO_K,2026-02-16T02:09:23.486Z
1074,binubuo,binubo,binubuo,REJECT,UO_TO_O,2026-02-16T02:09:24.847Z
1082,Marco,Marko,Marco,REJECT,C_TO_K,2026-02-16T02:09:28.013Z
1092,masusuot,masusot,masusuot,REJECT,UO_TO_O,2026-02-16T02:09:28.745Z
1152,Nicasio,Nikasio,Nicasio,REJECT,C_TO_K,2026-02-16T02:09:42.229Z
1152,Cayetano,Kayetano,Cayetano,REJECT,C_TO_K,2026-02-16T02:09:44.631Z
1152,Mercado,Merkado,Mercado,REJECT,C_TO_K,2026-02-16T02:09:46.974Z
1162,alcalde,alkalde,alkalde,APPROVE,C_TO_K,2026-02-16T02:09:49.416Z
1193,codillo,kodillo,kodilyo,EDIT,C_TO_K,2026-02-16T02:09:56.216Z
1225,codillo,kodillo,kodilyo,EDIT,C_TO_K,2026-02-16T02:10:02.314Z
1239,escopeta,eskopeta,eskopeta,APPROVE,C_TO_K,2026-02-16T02:10:06.503Z
1257,condesa,kondesa,kondesa,APPROVE,C_TO_K,2026-02-16T02:10:11.398Z
1282,cuadro,kuadro,kwadro,EDIT,C_TO_K,2026-02-16T02:10:18.538Z
1346,casus,kasus,casus,REJECT,C_TO_K,2026-02-16T02:10:22.483Z
1367,Makaragui,Makaragi,Makaragi,APPROVE,GUI_TO_GI,2026-02-16T02:12:21.963Z
1370,condesa,kondesa,kondesa,APPROVE,C_TO_K,2026-02-16T02:12:23.664Z
1373,vobiscum,vobiskum,vobiscum,REJECT,C_TO_K,2026-02-16T02:12:26.044Z
1404,politica,politika,politika,APPROVE,C_TO_K,2026-02-16T02:12:29.352Z
1460,Escuela,Eskuela,Eskwela,EDIT,C_TO_K,2026-02-16T02:12:36.422Z
1562,escolasticos,eskolastikos,escolasticos,REJECT,C_TO_K,2026-02-16T02:12:45.809Z
1574,Mecachis,Mekachis,Mecachis,REJECT,C_TO_K,2026-02-16T02:12:47.894Z
1578,cuacha,kuacha,kwacha,EDIT,C_TO_K,2026-02-16T02:13:26.600Z
1593,carabineros,karabineros,carabineros,REJECT,C_TO_K,2026-02-16T02:13:32.360Z
1594,carabineros,karabineros,carabineros,REJECT,C_TO_K,2026-02-16T02:13:35.165Z
1595,contrabando,kontrabando,kontrabando,APPROVE,C_TO_K,2026-02-16T02:13:37.066Z
1595,heretico,heretiko,heretiko,APPROVE,C_TO_K,2026-02-16T02:13:41.198Z
1626,Aquino,Akino,Aquino,REJECT,QU_TO_K,2026-02-16T02:13:43.807Z
1641,ñgayon,ngayon,ngayon,APPROVE,NG_TILDE,2026-02-16T02:13:48.111Z
1642,matricula,matrikula,matrikula,APPROVE,C_TO_K,2026-02-16T02:13:55.062Z
1664,cosa,kosa,kosa,APPROVE,C_TO_K,2026-02-16T02:13:59.053Z
1666,Canones,Kanones,Kanyones,EDIT,C_TO_K,2026-02-16T02:14:08.761Z
1667,concilio,koncilio,konsilyo,EDIT,C_TO_K,2026-02-16T02:14:21.949Z
1680,vobiscum,vobiskum,vobiscum,REJECT,C_TO_K,2026-02-16T02:14:24.873Z
1680,requiescat,requieskat,requiescat,REJECT,C_TO_K,2026-02-16T02:14:26.561Z
1681,cosa,kosa,kosa,APPROVE,C_TO_K,2026-02-16T02:14:28.726Z
1686,bumubuo,bumubo,bumubuo,REJECT,UO_TO_O,2026-02-16T02:14:30.122Z
1695,quia,kia,quia,REJECT,QU_TO_K,2026-02-16T02:14:32.193Z
1695,vocatur,vokatur,vocatur,REJECT,C_TO_K,2026-02-16T02:14:33.812Z
1703,commendo,kommendo,commendo,REJECT,C_TO_K,2026-02-16T02:14:34.850Z
1704,Concedo,Koncedo,Concedo,REJECT,C_TO_K,2026-02-16T02:14:35.936Z
1707,dereliquiste,derelikiste,dereliquiste,REJECT,QU_TO_K,2026-02-16T02:14:39.267Z
1720,consecuentiam,konsekuentiam,consecuentiam,REJECT,C_TO_K,2026-02-16T02:14:41.581Z
1722,consecuentiam,konsekuentiam,consecuentiam,REJECT,C_TO_K,2026-02-16T02:14:43.308Z
1751,binubuo,binubo,binubuo,REJECT,UO_TO_O,2026-02-16T02:14:44.972Z
1754,binubuo,binubo,binubuo,REJECT,UO_TO_O,2026-02-16T02:14:46.124Z
1793,Atqui,Atki,Atqui,REJECT,QU_TO_K,2026-02-16T02:14:51.364Z
1794,multiplicar,multiplikar,multiplikar,APPROVE,C_TO_K,2026-02-16T02:14:56.459Z
1803,camaron,kamaron,camaron,REJECT,C_TO_K,2026-02-16T02:14:59.183Z
1803,cangrejo,kangrejo,cangrejo,REJECT,C_TO_K,2026-02-16T02:15:01.493Z
1866,facultad,fakultad,fakultad,APPROVE,C_TO_K,2026-02-16T02:15:06.978Z
1878,Cogito,Kogito,Cogito,REJECT,C_TO_K,2026-02-16T02:15:09.922Z
1950,escolastico,eskolastiko,eskolastiko,APPROVE,C_TO_K,2026-02-16T02:15:18.475Z
1950,escolasticismo,eskolasticismo,eskolastisismo,EDIT,C_TO_K,2026-02-16T02:15:26.582Z
1955,condecoracion,kondekoracion,kondekorasyon,EDIT,C_TO_K,2026-02-16T02:15:54.284Z
1956,condecoracion,kondekoracion,kondekorasyon,EDIT,C_TO_K,2026-02-16T02:16:03.231Z
1959,condecoracion,kondekoracion,kondekorasyon,EDIT,C_TO_K,2026-02-16T02:16:11.884Z
1996,academico,akademiko,akademiko,APPROVE,C_TO_K,2026-02-16T02:16:24.175Z
2073,condesa,kondesa,kondesa,APPROVE,C_TO_K,2026-02-16T02:16:25.682Z
2081,bumubuo,bumubo,bumubuo,REJECT,UO_TO_O,2026-02-16T02:16:27.542Z
2093,bumubuo,bumubo,bumubuo,REJECT,UO_TO_O,2026-02-16T02:16:28.835Z
2137,chocolate,chokolate,tsokolate,EDIT,C_TO_K,2026-02-16T02:16:35.441Z
2149,carrera,karrera,karera,EDIT,C_TO_K,2026-02-16T02:16:42.794Z
2153,retorica,retorika,retorika,APPROVE,C_TO_K,2026-02-16T02:16:47.874Z
2162,carrera,karrera,karera,EDIT,C_TO_K,2026-02-16T02:16:54.142Z
