token,count,proposed_modern
canyang,2043,canyang
cung,1060,cung
co,920,co
aco,806,aco
pagca,579,pagca
canya,578,canya
canilang,478,canilang
cayo,467,cayo
cay,301,cay
anac,288,anac
ca,266,ca
caya,260,caya
cong,250,cong
cura,210,cura
Clara,204,Clara
camay,191,camay
Cung,171,Cung
acong,163,acong
canila,152,canila
castila,148,castila
saca,144,saca
icaw,138,icaw
capitang,133,capitang
cahoy,132,cahoy
guinoong,130,guinoong
pagcatapos,128,pagcatapos
guinagawa,122,guinagawa
guinawa,121,guinawa
cayong,116,cayong
cahi,115,cahi
wicang,113,wicang
Victorina,106,Victorina
guitna,97,guitna
cailan,96,cailan
capatid,92,capatid
cami,91,cami
Custodio,90,Custodio
voces,88,voces
Capitan,87,Capitan
tungcol,84,tungcol
naguing,79,naguing
Alcalde,77,Alcalde
Placido,76,Placido
dacong,75,dacong
catawan,75,catawan
guinoo,74,guinoo
calagayan,72,calagayan
Capitang,71,Capitang
caibigan,71,caibigan
bulaclac,71,bulaclac
Crisostomo,69,Crisostomo
acala,67,acala
convento,67,convento
buhoc,64,buhoc
lacas,63,lacas
Camorra,62,Camorra
insic,62,insic
casama,62,casama
maguing,59,maguing
caaway,58,caaway
catuwiran,58,catuwiran
culay,57,culay
caunti,56,caunti
cang,56,cang
catungculan,56,catungculan
cahulugan,55,cahulugan
sacali,55,sacali
manoc,54,manoc
casalanan,54,casalanan
civil,54,civil
capitan,53,capitan
wica,52,wica
nauucol,51,nauucol
bucas,51,bucas
malacas,51,malacas
kinacailangang,51,kinacailangang
magcaroon,50,magcaroon
cata,49,cata
sacristan,47,sacristan
capangyarihan,47,capangyarihan
capuwa,47,capuwa
Crispin,47,Crispin
bangca,47,bangca
cawacasa,46,cawacasa
bucod,46,bucod
culang,46,culang
catotohanan,45,catotohanan
bangcay,45,bangcay
Quiroga,44,Quiroga
sacerdote,44,sacerdote
inaacala,44,inaacala
baca,44,baca
pagdaca,43,pagdaca
cabuluhan,43,cabuluhan
gobernadorcillo,43,gobernadorcillo
Civil,42,Civil
cawangis,42,cawangis
catulad,42,catulad
tacot,42,tacot
franciscano,41,franciscano
caunting,41,caunting
caisipan,41,caisipan
bahagui,40,bahagui
calooban,39,calooban
Aco,39,Aco
cagalingan,38,cagalingan
pagtataca,38,pagtataca
calolowa,38,calolowa
macatuwid,38,macatuwid
camahalan,38,camahalan
sucat,37,sucat
magcagayo,37,magcagayo
catahimican,37,catahimican
Lucas,36,Lucas
curang,36,curang
paglacad,36,paglacad
imic,36,imic
Pecson,35,Pecson
carapatdapat,35,carapatdapat
Tiburcio,34,Tiburcio
Guinoong,34,Guinoong
ucol,34,ucol
panucala,34,panucala
musica,34,musica
Cayo,34,Cayo
pumasoc,34,pumasoc
caming,34,caming
pagcain,33,pagcain
canicanilang,33,canicanilang
cabayo,32,cabayo
guinto,32,guinto
cagalanggalang,32,cagalanggalang
castilang,32,castilang
caugalian,31,caugalian
macaraan,31,macaraan
icagagaling,31,icagagaling
maguiguing,31,maguiguing
doctor,30,doctor
cabilang,30,cabilang
umiimic,30,umiimic
dominico,30,dominico
caraming,30,caraming
higuit,30,higuit
casabay,30,casabay
caraniwang,29,caraniwang
cuartel,29,cuartel
malungcot,29,malungcot
naguiguing,29,naguiguing
lacad,28,lacad
capurihan,28,capurihan
caibigang,28,caibigang
daco,28,daco
cadahilanan,27,cadahilanan
kinacailangan,27,kinacailangan
sapagca,27,sapagca
Pagca,27,Pagca
cruz,27,cruz
coche,26,coche
umiiyac,26,umiiyac
cabataan,26,cabataan
caluluwa,26,caluluwa
galac,25,galac
cawayan,25,cawayan
caniyang,24,caniyang
guinagawang,24,guinagawang
hucay,24,hucay
cahabaghabag,24,cahabaghabag
Cristo,23,Cristo
tabaco,23,tabaco
lumalacad,23,lumalacad
cabuluhang,23,cabuluhang
escuela,23,escuela
paliguid,23,paliguid
pumapasoc,23,pumapasoc
capitana,23,capitana
canino,22,canino
lintic,22,lintic
nagcaroon,22,nagcaroon
caraniwan,22,caraniwan
cakilakilabot,22,cakilakilabot
suloc,22,suloc
manacanacang,22,manacanacang
pilac,22,pilac
nacacaalam,22,nacacaalam
catungculang,22,catungculang
casayahan,22,casayahan
Clarang,22,Clarang
catuwaan,22,catuwaan
tumacas,22,tumacas
Victoria,22,Victoria
Carlos,22,Carlos
cagalingang,21,cagalingang
cagagawan,21,cagagawan
pagcamatay,21,pagcamatay
Cailan,21,Cailan
campana,21,campana
capayapaan,21,capayapaan
caramihang,21,caramihang
chocolate,20,chocolate
calayaan,20,calayaan
umimic,20,umimic
magcabicabila,20,magcabicabila
Guinoo,20,Guinoo
calugodlugod,20,calugodlugod
cadiliman,20,cadiliman
cayamanan,20,cayamanan
Bucod,20,Bucod
Francisco,20,Francisco
procesion,20,procesion
cuarta,20,cuarta
wacas,20,wacas
bundoc,20,bundoc
Jesucristo,19,Jesucristo
Pagcatapos,19,Pagcatapos
cahihiyan,19,cahihiyan
caguluhan,19,caguluhan
cagandahan,19,cagandahan
Consolacion,19,Consolacion
escuelahan,19,escuelahan
caculangan,18,caculangan
pangguiguilalas,18,pangguiguilalas
cacaunti,18,cacaunti
cacaibang,18,cacaibang
pacpac,18,pacpac
casaliwaang,18,casaliwaang
cagabi,18,cagabi
pagcakita,18,pagcakita
licod,18,licod
cahuluga,18,cahuluga
indulgencia,17,indulgencia
Cruz,17,Cruz
guinagamit,17,guinagamit
cakilala,17,cakilala
mahiguit,17,mahiguit
tumiguil,17,tumiguil
Caya,17,Caya
capanatagan,17,capanatagan
cautusan,17,cautusan
caayaayang,17,caayaayang
licuran,17,licuran
candilang,17,candilang
candila,17,candila
magcapatid,17,magcapatid
cailangan,17,cailangan
panaguinip,17,panaguinip
conservador,16,conservador
Chichoy,16,Chichoy
cumulang,16,cumulang
nacalagay,16,nacalagay
alac,16,alac
cumilos,16,cumilos
balicat,16,balicat
lagui,16,lagui
nagtataca,16,nagtataca
nacapagbibigay,16,nacapagbibigay
cusang,16,cusang
casam,16,casam
cumikilos,16,cumikilos
laguing,16,laguing
hawac,16,hawac
alaboc,16,alaboc
panucalang,16,panucalang
magpacailan,16,magpacailan
que,15,que
pumanhic,15,pumanhic
cristal,15,cristal
hacbang,15,hacbang
magcabicabilang,15,magcabicabilang
umiyac,15,umiyac
macapag,15,macapag
cababayan,15,cababayan
cumain,15,cumain
ibiguin,15,ibiguin
calungcutan,15,calungcutan
caligayahan,15,caligayahan
acalang,15,acalang
culog,15,culog
caninang,15,caninang
cabanalan,15,cabanalan
cuadrillero,15,cuadrillero
balac,15,balac
baclad,15,baclad
Victorinang,14,Victorinang
Camaroncocido,14,Camaroncocido
humiguit,14,humiguit
adhica,14,adhica
piguing,14,piguing
camatayan,14,camatayan
casamahan,14,casamahan
caraniwa,14,caraniwa
casangcapan,14,casangcapan
causap,14,causap
capahamacan,14,capahamacan
coadjutor,14,coadjutor
carapatan,14,carapatan
iyac,14,iyac
cataohan,14,cataohan
justicia,14,justicia
catawang,14,catawang
inacala,14,inacala
nagcacailangan,14,nagcacailangan
calabaw,14,calabaw
kinabucasan,14,kinabucasan
calahati,14,calahati
calapit,14,calapit
cristiano,14,cristiano
bangco,14,bangco
Carolino,13,Carolino
tawaguin,13,tawaguin
orquesta,13,orquesta
Inaacala,13,Inaacala
camag,13,camag
yumucod,13,yumucod
hucom,13,hucom
catotohanang,13,catotohanang
maicling,13,maicling
casalucuyang,13,casalucuyang
cacampi,13,cacampi
camusmusan,13,camusmusan
manacanaca,13,manacanaca
ciudad,13,ciudad
tumacbo,13,tumacbo
yantoc,13,yantoc
capalaran,13,capalaran
magnanacaw,13,magnanacaw
aclat,13,aclat
Vice,12,Vice
guinamit,12,guinamit
cahit,12,cahit
carunungan,12,carunungan
caasalan,12,caasalan
Tumiguil,12,Tumiguil
camalian,12,camalian
capisanan,12,capisanan
cumacain,12,cumacain
cuchara,12,cuchara
nacion,12,nacion
caramihan,12,caramihan
caliwanagan,12,caliwanagan
macapangyarihan,12,macapangyarihan
cawasa,12,cawasa
nacapag,12,nacapag
capangyarihang,12,capangyarihang
Icaw,12,Icaw
capit,12,capit
cahapon,12,cahapon
putoc,12,putoc
nacaupo,12,nacaupo
masaclap,12,masaclap
corresponsal,12,corresponsal
excomunion,12,excomunion
Rector,11,Rector
Escolta,11,Escolta
China,11,China
pangaco,11,pangaco
calagayang,11,calagayang
mabalasic,11,mabalasic
ipinanganac,11,ipinanganac
caguinsaguinsa,11,caguinsaguinsa
catuwirang,11,catuwirang
bumalic,11,bumalic
cocheng,11,cocheng
bacal,11,bacal
capighatian,11,capighatian
cagulatgulat,11,cagulatgulat
kinacatawan,11,kinacatawan
cumuha,11,cumuha
salacot,11,salacot
caisipang,11,caisipang
pagcaing,11,pagcaing
nacacakita,11,nacacakita
ocho,11,ocho
directorcillo,11,directorcillo
caawaawang,11,caawaawang
pagcacataon,11,pagcacataon
caugaliang,11,caugaliang
cawani,11,cawani
cangino,11,cangino
Clarita,11,Clarita
colegio,10,colegio
copa,10,copa
Pascual,10,Pascual
Patrocinio,10,Patrocinio
culot,10,culot
palibac,10,palibac
campanario,10,campanario
iguinagalang,10,iguinagalang
paglalacbay,10,paglalacbay
macaalam,10,macaalam
calolowang,10,calolowang
malulungcot,10,malulungcot
tawaguing,10,tawaguing
cahirapan,10,cahirapan
nacabitin,10,nacabitin
binucsan,10,binucsan
capanglawan,10,capanglawan
udyoc,10,udyoc
pagcacagayo,10,pagcacagayo
calahating,10,calahating
natatacot,10,natatacot
Consolaciong,10,Consolaciong
Sacali,10,Sacali
palacio,10,palacio
nagcacamali,10,nagcacamali
Justicia,10,Justicia
calaguimlaguim,10,calaguimlaguim
pagcaibig,10,pagcaibig
macakita,10,macakita
Kinacailangang,10,Kinacailangang
palacad,10,palacad
guinawang,10,guinawang
saloc,10,saloc
camtan,10,camtan
cabo,10,cabo
carro,10,carro
pagbabaca,10,pagbabaca
cola,9,cola
provincial,9,provincial
cuchillo,9,cuchillo
cancer,9,cancer
Binundoc,9,Binundoc
catoto,9,catoto
macasalanan,9,macasalanan
pagcacasakit,9,pagcacasakit
capalit,9,capalit
pagcabuhay,9,pagcabuhay
saguing,9,saguing
casing,9,casing
cahalingan,9,cahalingan
cayang,9,cayang
Sucat,9,Sucat
Capisanan,9,Capisanan
bacas,9,bacas
catutubong,9,catutubong
nacahahadlang,9,nacahahadlang
cataasan,9,cataasan
nacangiti,9,nacangiti
cacanin,9,cacanin
casamaang,9,casamaang
tumatacbo,9,tumatacbo
carukhaan,9,carukhaan
natatacpan,9,natatacpan
usoc,9,usoc
casabihang,9,casabihang
cumacapit,9,cumacapit
nacapangyayari,9,nacapangyayari
nacatindig,9,nacatindig
causapin,9,causapin
cararating,9,cararating
malalacas,9,malalacas
calakilakihang,9,calakilakihang
tumitiguil,9,tumitiguil
caibhan,9,caibhan
Nacu,9,Nacu
calaguitnaan,9,calaguitnaan
hibic,9,hibic
macapagsalita,9,macapagsalita
iniuucol,9,iniuucol
canin,9,canin
capaitan,9,capaitan
tumitiboc,9,tumitiboc
casaysayan,9,casaysayan
catiwasayan,9,catiwasayan
comedia,9,comedia
principe,9,principe
lumacad,9,lumacad
cha,9,cha
excomulgado,9,excomulgado
caawaawa,9,caawaawa
pingcaw,9,pingcaw
Municipal,8,Municipal
Medicina,8,Medicina
con,8,con
frac,8,frac
caida,8,caida
sangcataohan,8,sangcataohan
cacaiba,8,cacaiba
catolico,8,catolico
capowa,8,capowa
nacaraang,8,nacaraang
catatagan,8,catatagan
catowaan,8,catowaan
nacasuot,8,nacasuot
matalic,8,matalic
tahimic,8,tahimic
pagpapacahirap,8,pagpapacahirap
calamigan,8,calamigan
naglalacad,8,naglalacad
hinawacan,8,hinawacan
acalaing,8,acalaing
catampalasanan,8,catampalasanan
libac,8,libac
nagcasiya,8,nagcasiya
nacakita,8,nacakita
nacaliliguid,8,nacaliliguid
caingayan,8,caingayan
cahapishapis,8,cahapishapis
cadahilana,8,cadahilana
bucal,8,bucal
macapangyarihang,8,macapangyarihang
casabihan,8,casabihan
putucan,8,putucan
casal,8,casal
carreton,8,carreton
kinaguisnang,8,kinaguisnang
nacaaalam,8,nacaaalam
niyacap,8,niyacap
tabacong,8,tabacong
nacaraan,8,nacaraan
cuta,8,cuta
carunungang,8,carunungang
pumapanhic,8,pumapanhic
cahinaan,8,cahinaan
bacol,8,bacol
tumatacas,8,tumatacas
catotohana,8,catotohana
Catolica,8,Catolica
macagawa,8,macagawa
nacayayamot,8,nacayayamot
icatlong,8,icatlong
cawayang,8,cawayang
magcacaroon,8,magcacaroon
Magcacaroon,8,Magcacaroon
sacristia,8,sacristia
piniguil,8,piniguil
nagcuculang,8,nagcuculang
bahaguing,8,bahaguing
pangcat,8,pangcat
cawacasan,8,cawacasan
canta,8,canta
Pumasoc,8,Pumasoc
guitarra,8,guitarra
casagutan,8,casagutan
pagcalakilaking,8,pagcalakilaking
cadakilaan,8,cadakilaan
ceremonia,8,ceremonia
Cura,8,Cura
sicad,8,sicad
escribano,7,escribano
tercero,7,tercero
Penchang,7,Penchang
alcalde,7,alcalde
condecoracion,7,condecoracion
cafe,7,cafe
marcha,7,marcha
Victor,7,Victor
calakhan,7,calakhan
bangcang,7,bangcang
naliliguid,7,naliliguid
Baca,7,Baca
Tungcol,7,Tungcol
naglalacbay,7,naglalacbay
sasacyan,7,sasacyan
matangcad,7,matangcad
nacalalaguim,7,nacalalaguim
masilacbong,7,masilacbong
casamang,7,casamang
iguinagalaw,7,iguinagalaw
cagalangan,7,cagalangan
magbalic,7,magbalic
caacbay,7,caacbay
Doctor,7,Doctor
catawa,7,catawa
lingcod,7,lingcod
capangagaw,7,capangagaw
calayaang,7,calayaang
casambahay,7,casambahay
conciencia,7,conciencia
casawiang,7,casawiang
catalinuhan,7,catalinuhan
capirasong,7,capirasong
capanahunan,7,capanahunan
cuintas,7,cuintas
America,7,America
nacatitig,7,nacatitig
canicanyang,7,canicanyang
cunot,7,cunot
Catalina,7,Catalina
inaacalang,7,inaacalang
cunin,7,cunin
tinacpan,7,tinacpan
capalarang,7,capalarang
Bucas,7,Bucas
tagac,7,tagac
nanhic,7,nanhic
pagpasoc,7,pagpasoc
buloc,7,buloc
casalucuyan,7,casalucuyan
nacasabit,7,nacasabit
casangcapang,7,casangcapang
cordon,7,cordon
nagcucruz,7,nagcucruz
tumbalic,7,tumbalic
bacod,7,bacod
Cahi,7,Cahi
tacsil,7,tacsil
sicat,7,sicat
calupitan,7,calupitan
vaca,7,vaca
nagcamit,7,nagcamit
cataimtiman,7,cataimtiman
caguilaguilalas,7,caguilaguilalas
catampalasanang,7,catampalasanang
cabeza,7,cabeza
caharap,7,caharap
catacottacot,7,catacottacot
comediang,7,comediang
casacunaan,7,casacunaan
taguiliran,7,taguiliran
mataguinting,7,mataguinting
pinagcacautangan,7,pinagcacautangan
geroglifico,7,geroglifico
cahalagahan,7,cahalagahan
musicang,7,musicang
caraingan,7,caraingan
nacatayo,7,nacatayo
capapalo,7,capapalo
cagagawang,7,cagagawang
sumasacatuwiran,7,sumasacatuwiran
confesion,7,confesion
casamaan,7,casamaan
Ipinanganac,7,Ipinanganac
Ciceron,6,Ciceron
Cabo,6,Cabo
procurador,6,procurador
corporacion,6,corporacion
cadete,6,cadete
C,6,C
consul,6,consul
coro,6,coro
calahi,6,calahi
cagamutan,6,cagamutan
cumot,6,cumot
calacal,6,calacal
magcabihira,6,magcabihira
nacacatulog,6,nacacatulog
macapagsasabi,6,macapagsasabi
caguinhawahan,6,caguinhawahan
acalain,6,acalain
binubucsan,6,binubucsan
abanico,6,abanico
biscocho,6,biscocho
saclap,6,saclap
pinagcaratihan,6,pinagcaratihan
cumilala,6,cumilala
Canyang,6,Canyang
paglibac,6,paglibac
macailan,6,macailan
tinalicdan,6,tinalicdan
capisanang,6,capisanang
capalaluan,6,capalaluan
naca,6,naca
cagandahang,6,cagandahang
nacacatulad,6,nacacatulad
pacasal,6,pacasal
cabooan,6,cabooan
macapagbibigay,6,macapagbibigay
hucbo,6,hucbo
calesa,6,calesa
mapamintacasi,6,mapamintacasi
capurihang,6,capurihang
cahingian,6,cahingian
casiraan,6,casiraan
catibayan,6,catibayan
cuarto,6,cuarto
cagandagandahang,6,cagandagandahang
cailangang,6,cailangang
saclolo,6,saclolo
pintacasi,6,pintacasi
escapulario,6,escapulario
pilic,6,pilic
nacapatong,6,nacapatong
hucbong,6,hucbong
magcamit,6,magcamit
macasalanang,6,macasalanang
nacaaakit,6,nacaaakit
pamimintacasi,6,pamimintacasi
cahirapang,6,cahirapang
caarawan,6,caarawan
Naguing,6,Naguing
Gobernadorcillo,6,Gobernadorcillo
ipinagcaloob,6,ipinagcaloob
cintas,6,cintas
kinabucasa,6,kinabucasa
catotong,6,catotong
magcabilang,6,magcabilang
casulatan,6,casulatan
laguim,6,laguim
nacacawangis,6,nacacawangis
capatagan,6,capatagan
cabunducan,6,cabunducan
nangagtatacbuhan,6,nangagtatacbuhan
catandaan,6,catandaan
pinipiguil,6,pinipiguil
carretong,6,carretong
bucong,6,bucong
catawatawa,6,catawatawa
pagsusumicap,6,pagsusumicap
cumikinang,6,cumikinang
nacasacay,6,nacasacay
nacatungo,6,nacatungo
hagcan,6,hagcan
ipinangaco,6,ipinangaco
cometa,6,cometa
haligui,6,haligui
tungcod,6,tungcod
pinagsisicapang,6,pinagsisicapang
ninacaw,6,ninacaw
pagcawalang,6,pagcawalang
ipinagwica,6,ipinagwica
cakimian,6,cakimian
caharian,6,caharian
cauntian,6,cauntian
casalanang,6,casalanang
Anac,6,Anac
magcasakit,6,magcasakit
nacatali,6,nacatali
pagcacagawa,6,pagcacagawa
palayoc,6,palayoc
bucsan,6,bucsan
patac,6,patac
cocinero,6,cocinero
macausap,6,macausap
calaki,6,calaki
cacaunting,6,cacaunting
wasac,6,wasac
macapagsasalita,6,macapagsasalita
catamisan,6,catamisan
pagcagulat,6,pagcagulat
cigarrillo,6,cigarrillo
pagcacatuwa,6,pagcacatuwa
magcagayon,6,magcagayon
paglilingcod,6,paglilingcod
macapagbigay,6,macapagbigay
nangguiguilalas,6,nangguiguilalas
cahatulan,6,cahatulan
icalawang,6,icalawang
baculan,6,baculan
cafiestahan,6,cafiestahan
macapal,6,macapal
Binucsan,6,Binucsan
cun,6,cun
Casama,6,Casama
cucharang,6,cucharang
usiguin,6,usiguin
capacumbabaan,6,capacumbabaan
cautangan,6,cautangan
bucol,6,bucol
nanghihimagsic,6,nanghihimagsic
panghihimagsic,6,panghihimagsic
Eminencia,5,Eminencia
cabecera,5,cabecera
requiem,5,requiem
medico,5,medico
Corte,5,Corte
hacienda,5,hacienda
cuadro,5,cuadro
carabinero,5,carabinero
cochers,5,cochers
Malecon,5,Malecon
alguacil,5,alguacil
comedor,5,comedor
catagalugan,5,catagalugan
pagcacaanyo,5,pagcacaanyo
macapasoc,5,macapasoc
Casilanganan,5,Casilanganan
piguilin,5,piguilin
tinatacpan,5,tinatacpan
catutubo,5,catutubo
camangmangan,5,camangmangan
catre,5,catre
sacuna,5,sacuna
Lacad,5,Lacad
nacasuntoc,5,nacasuntoc
caruwagan,5,caruwagan
caparusahan,5,caparusahan
nacatuclas,5,nacatuclas
hinagcan,5,hinagcan
