book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon canyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,2,"Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang canyang bahay at ang canyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga calacal o sa ano mang isip na bago o pangahas."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa canyang walang hanggang cabaitan, at canyang pinararami ng buong pag-irog sa Maynila."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,5,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang canyang bilang (numero), aming sasaysayin ang canyang anyo upang makilala ngayon, sacali't hindi pa iguiniguiba ng mga lindol."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagcayari upang gawin ang maraming bagay."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,7,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,8,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang cabilang panig at ang cabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,9,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,10,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaclac na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring culay at may mga dibujong hindi mapaglirip."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,11,"Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhik, ¡oh ikaw na bumabasa sa akin, catoto o kaaway!"
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,12,"sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't cubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,13,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysay ng kalagayan ng bahay; ngunit lubhang mahalaga ito, palibhasa'y ang caraniwan sa mga may camatayang gaya natin ay tulad sa pawican: hinahalagahan at hinihirang tayo alinsunod sa ating talucab o tinatahanang bahay; dahil dito't sa iba pang mga anyo ng asal, cawangis nga ng mga pawican ang mga may camatayan sa Filipinas."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,14,"—Kung pumanhik tayo'y agad nating mararating ang isang malowang na tahanang kung tawaguin doo'y ""caida"", ayawan kung bakit, na ng gabing ito'y guinagamit na ""comedor"" at tuloy salon ng orquesta."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,15,"Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin cumikindat sa ""colado,"" taglay ang catamistamisang mga pangaco, at nagbabala sa matatacuting binibini, sa walang malay na dalaga, ng dalawang nacaiinip na oras sa casamahan ng mga hindi cakilala, na ang pananalita't mga pakikikiusap ay ang caraniwa'y totoong cacaiba."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,16,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagkamatay ng banal,"" ""Ang pagkamatay ng macasalanan,"" at sa duyo'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo'y napapanood ang dalawang matandang babae."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,17,"Ganito ang saysay ng doo'y titic: ""Nuestra Señora de la Paz y Buen Viaje, na sinasamba sa Antipolo, sa ilalim ng anyong babaeng magpapalimos, dinadalaw sa canyang pagkakasakit ang banal at bantog na si Capitana Ines""."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,18,"Tunay mang ang pagkakapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasaysay naman ng caraniwang mamalas: ang babaeng may sakit ay tila na bangcay na nabubuloc, dahil sa culay dilaw at azul ng canyang mukha; ang mga vaso't iba pang mga casangcapan, iyang maraming mga natitipong bagay bagay sa mahabang pagkakasakit ay doo'y lubhang mabuti ang pagkakasipi, na ano pa't napapanood pati ng linalaman."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,19,"Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglasap ng masasarap na bagay bagay, marahil acalain ng ilang may masamang isipan ang may-ari ng bahay, na napagkikilalang magaling ang calooban ng halos lahat ng mga magsisiupo sa mesa, at ng huwag namang mahalatang totoo ang canyang panucala, nagsabit sa quizame ng maririkit na lamparang gawa sa China, mga jaulang walang ibon, mga bolang cristal na may azogueng may culay pula, verde at azul, mga halamang pangbiting lanta na, mga tuyong isdang botete na hinipa't ng bumintog, at iba pa, at ang lahat ng ito'y nacuculong sa may dakong ilog ng maiinam na mga arcong kahoy, na ang anyo'y alangang huguis europeo't alangang huguis insic, at may natatanaw namang isang ""azoteang"" may mga balag at mga ""glorietang"" bahagya na naliliwanagan ng mga maliliit na farol na papel na may sarisaring culay."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,20,"Nasasalas ang mangagsisicain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga araña: at doon sa ibabaw ng isang tarimang pino ay may isang mainam na ""piano de cola"", na ang halaga'y camalacmalac, at lalo ng mahalaga ng gabing ito, sa pagka't sino ma'y walang tumutugtog."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,21,"Doo'y may isang larawang ""al oleo"" ng isang lalaking makisig, nacafrac, unat, matuwid, timbang na tulad sa bastong may borlas na taglay sa mga matitigas na daliring puspos ng mga sinsing: wari'y sinasabi ng larawan:"
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,22,—¡Ehem!
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,23,¡masdan ninyo kung gaano carami ang suot ko at ako'y hindi tumatawa!
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,24,"Magaganda ang mga casangcapan, baga man marahil ay hindi maguinhawahang gamitin at nacasasama pa sa katawan: hindi nga ang icaiilag sa sakit ng canyang mga inaanyayahan ang naiisip ng may-ari, kung di ang sariling pagmamarikit."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,25,"—¡Tunay at cakilakilabot na bagay ang pag-iilaguin, datapwat kayo nama'y umuupo sa mga sillong gawang Europa, at hindi palaguing macacatagpo kayo ng ganyan!"
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,26,—ito marahil ang sinasabi niya sa kanila.
