chapter_number,original_title,normalized_title,notes
1,ISANG PAGCACAPISAN.,ISANG PAGKAKAPISAN.,Normalized: PAGCACAPISAN->PAGKAKAPISAN
2,CRISOSTOMO IBARRA,CRISOSTOMO IBARRA,Unchanged
3,ANG HAPUNAN,ANG HAPUNAN,
4,HEREJE AT FILIBUSTERO,HEREJE AT FILIBUSTERO,
5,ISANG BITUIN SA GABING MADILIM,ISANG BITUIN SA GABING MADILIM,
6,CAPITANG TIAGO,CAPITANG TIAGO,
7,"MAIROG NA SALITAAN SA ISANG ""AZOTEA""","MAIROG NA SALITAAN SA ISANG ""AZOTEA""",
8,MANGA ALAALA,MGA ALAALA,Normalized: MANGA->MGA
9,MANGA CAUGALIAN NG BAYANG ITO,MGA KAUGALIAN NG BAYANG ITO,"Normalized: MANGA->MGA, CAUGALIAN->KAUGALIAN"
10,ANG BAYAN,ANG BAYAN,
11,ANG MANgA MACAPANGYARIHAN,ANG MGA MAKAPANGYARIHAN,"Normalized: MANGA->MGA, MACAPANGYARIHAN->MAKAPANGYARIHAN"
12,ANG LAHAT NANG MANGA SANTO[210],ANG LAHAT NANG MGA SANTO,Normalized: MANGA->MGA
13,MGA PAUNANG TANDA NANG UNOS,MGA PAUNANG TANDA NANG UNOS,
14,ANG ULOL NA SI TASIO O ANG FILOSOFO,ANG ULOL NA SI TASIO O ANG FILOSOFO,
15,ANG MGA SACRISTAN,ANG MGA SACRISTAN,
16,SI SISA,SI SISA,
17,BASILIO,BASILIO,Unchanged
18,MGA CALOLOWANG NAGHIHIRAP,MGA KALULUWANG NAGHIHIRAP,Normalized: CALOLOWANG->KALULUWANG
19,MGA KINASAPITAN NG ISANG MAESTRO SA ESCUELA,MGA KINASAPITAN NG ISANG MAESTRO SA ESCUELA,
20,ANG PULONG SA TRIBUNAL,ANG PULONG SA TRIBUNAL,
21,CASAYSAYAN NANG BUHAY NANG ISANG INA,KASAYSAYAN NANG BUHAY NANG ISANG INA,Normalized: CASAYSAYAN->KASAYSAYAN
22,MANGA ILAW AT MGA DILIM,MGA ILAW AT MGA DILIM,Normalized: MANGA->MGA
23,ANG PANGIGISDA,ANG PANGIGISDA,
24,SA GUBAT,SA GUBAT,
25,SA BAHAY NG FILOSOFO,SA BAHAY NG FILOSOFO,
26,"ANG ""VISPERA"" NG ""FIESTA.""","ANG ""VISPERA"" NG ""FIESTA.""",
27,SA PAGTATAKIPSILIM.,SA PAGTATAKIPSILIM.,
28,MANgA SULAT,MGA SULAT,Normalized: MANGA->MGA
29,ANG UMAGA.,ANG UMAGA.,
30,SA SIMBAHAN.,SA SIMBAHAN.,
31,ANG SERMON.,ANG SERMON.,
32,"ANG ""CABRIA"".","ANG ""CABRIA"".",
33,LAYANG-CAISIPAN.,LAYANG-CAISIPAN.,
34,ANG PAGCAIN.,ANG PAGKAIN.,Normalized: PAGCAIN->PAGKAIN
35,MGA SALISALITAAN.,MGA SALISALITAAN.,
36,ANG UNANG DILIM,ANG UNANG DILIM,
37,ANG GOBERNADOR GENERAL,ANG GOBERNADOR GENERAL,
38,ANG PROCESION.,ANG PROCESION.,
39,SI DONA CONSOLACION.,SI DONA CONSOLACION.,
40,ANG CATUWIRA'T ANG LACAS.,ANG KATUWIRA'T ANG LAKAS.,"Normalized: CATUWIRA'T->KATUWIRA'T, LACAS->LAKAS"
