book_title,author,source,source_filename,chapter_index,chapter_title,para_index_in_chapter,global_para_index,text,text_type
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,0,1,ALAALA,chapter_title
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,1,2,sa mga paring G. Mariano GOMEZ (85 taon) Jose BURGOS (30 taon) at Jacinto ZAMORA (35 taon) na binitay sa Bagumbayan ng ika 28[A] ng Febrero ng taong 1872.,paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,2,3,"Sa di pagsang-ayon ng Relihion na alisan kayo ng karangalan sa pagkapari ay inilagay sa alinlangan ang kasalanang ibinintang sa inyo; sa pagbabalot ng hiwaga’t kadiliman sa inyong usap ng Pamahalaan ay nagpakilala ng isang pagkakamaling nagawa sa isang masamang sandali, at ang boong Pilipinas, sa paggalang sa inyong alaala at pagtawag na kayo’y mga PINAGPALA, ay hindi kinikilalang lubos ang inyong pagkakasala.",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,3,4,"Samantala ngang hindi naipakikilalang maliwanag ang inyong pagkakalahok sa kaguluhan, naging bayani kayo o di man, nagkaroon o di man kayo ng hilig sa pagtatanggol ng katwiran, nagkaroon ng hilig sa kalayaan, ay may karapatan akong ihandog sa inyo, na bilang ginahis ng kasamaang ibig kong bakahin, ang aking gawa. At samantalang inaantay namin na kilalanin sa balang araw ng España ang inyong kabutihan at hindi makipanagot sa pagkakapatay sa inyo, ay maging putong na dahong tuyo na lamang ng inyong mga liblib na libingan ang mga dahong ito ng aklat, at lahat niyong walang katunayang maliwanag na umupasala sa inyong alaala, ay mabahiran nawa ng inyong dugo ang kanilang mga kamay.",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,4,5,J. Rizal.,paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,0,6,I SA CUBIERTA,chapter_title
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,1,7,Sic itur ad astra.,epigraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,2,8,"Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna. Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang pangalan; napakarumi kahit na may nasa siyang maging maputi, malumanay at waring nagmamalaki dahil sa kaniyang banayad na lakad. Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa taglay niya ang sadyang ugali ng mga bagay-bagay ng bayan, isang wari’y tagumpay na laban sa pagkakasulong, isang bapor na hindi tunay na bapor ang kabuoan, isang sangkap na hindi nagbabago, hindi ayos ngunit hindi mapag-aalinlanganan, na, kung ibig mag-anyong makabago ay nasisiyahan na ng boong kalakhan sa isang pahid ng pintura.",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,3,9,"Na ang bapor na ito’y tunay na pilipino! Kaunting pagpapaumanhin lamang ang gamiti’t pagkakamanlang siya ang daong ng Pamahalaan, na nayari sa ilalim ng pagsisiyasat ng mga Reberendo at mga Ilustrisimo!",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,4,10,"Balot ng liwanag sa umaga, hayo na ang maputi niyang katawan (na iniwawasiwas ang maitim na usok) na nagpapagalaw sa alon ng ilog at nagpapaawit sa hangin sa mga maigkas na kawayang nasa sa magkabilang pangpang; may nagsasabing nag-uumusok din ang daong ng Pamahalaan!... Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig makapanaig sa tulong ng sigaw, kaya’t sa loob ng bapor ay hindi magkarinigan, ang lahat ng makatagpo’y pinagbabalaan; minsa’y waring ibig durugin ang mga salambaw, (mga yayat na kagamitan sa pangingisda) na ang galaw ay waring kalansay ng gigante na yumuyuko sa isang pagong na nabuhay sa kapanahunang dako pa roon ng pag-apaw ng tubig sa boong mundo; minsa’y tumatakbong tungo sa mga kakawayanan o kaya’y sa mga karihan, na napapalamutihan ng gumamela at iba pang bulaklak, na waring mga magsisipaligong nakalubog na sa tubig ang mga paa’y ayaw pang maglublob... minsa’y sa pagsunod sa daang itinuturo ng ilang kawayang nakatirik sa ilog ay lumalakad ng boong kasiyahang loob ang bapor; ngunit ang isang biglang pagkakabagok ay kaunti nang ikinabuwal ng mga sakay; napadumog sa isang burak na mababaw na hindi hinihinala nino man......",paragraph
