novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
elfili,kaniyang,1164,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,aking,758,B,1,1-13,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa..."
noli,siya'y,516,B,1,1-48,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang kan..."
elfili,walang,512,B,1,1-15,"Siya nga naman, kung walang mga indio sa ilog at sa bayan ay bubuti ang lakad ng Tabo, oo!..."
noli,walang,464,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
noli,siyang,456,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
elfili,pag,411,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
elfili,nang,411,B,1,1-8,Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...
noli,naman,365,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
noli,pagka't,343,B,1,1-6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang n..."
noli,bagay,336,B,1,1-6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang n..."
noli,di,330,B,1,1-16,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadro..."
noli,nga,322,B,1,1-13,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa..."
noli,pag,313,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
noli,lalong,312,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
elfili,P,311,B,1,1-17,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...
noli,buong,296,B,1,1-3,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga la..."
elfili,siyang,287,B,1,1-3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang panga..."
noli,sinabi,283,B,1,1-67,"Ngunit hindi ko mapagcuro kung ano ang cabagayan ng inyong mga sinabi sa pagkakaalis ng ""estanco ng ..."
elfili,bagay,277,B,1,1-4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ..."
noli,anak,275,B,1,1-42,"Siya'y balitang ""dialectico"", kaya nga't ng mga panahong iyong nangangahas pa ang mga anak ni Guzman..."
noli,ka,257,B,2,2-19,—¡Hindi ka nagcamali!...
noli,niyang,255,B,1,1-1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ..."
noli,taong,254,B,1,1-8,Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap...
noli,kong,244,B,1,1-80,¡Sinasampalatayanan kong gaya ng pagsampalataya sa Evangelio!...
noli,iba,229,B,1,1-4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit s..."
noli,dalawang,226,B,1,1-15,"Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin ..."
