token,count,example_contexts,chapters
canyang,1986,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon canyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila. | Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang canyang bahay at ang canyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga calacal o sa ano mang isip na bago o pangahas. | Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang canyang bahay at ang canyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga calacal o sa ano mang isip na bago o pangahas.","noli:55,noli:14,noli:16,noli:40,noli:28,noli:12,noli:35,noli:13,noli:27,noli:48"
cura,194,"—Ang isa sa mga fraile'y isang dominicong bata pa, maganda, malinis at maningning, na tulad sa canyang salamin sa matang nacacabit sa tangcay na guinto, maaga ang pagka ugaling matanda: siya ang cura sa Binundoc at ng mga nacaraang tao'y naging catedratico sa San Juan de Letran. | Ako, ang ibig kong sabihi'y pagka itinatapon ng cura sa canyang libingan ang bangcay ng isang ""hereje,"" sino man, kahi ma't ang hari ay walang catuwirang makialam, at lalo ng walang catuwirang macapagparusa. | —ang biglang sinabi sa magalac na pagtataca—¡ang cura ng aking bayan!","noli:55,noli:14,noli:16,noli:40,noli:28,noli:12,noli:35,noli:13,noli:27,noli:48"
Clara,193,"—Ngunit ano ang palagay ninyo sa bagay na iyon, P. Salvi—ang tanong sa pransiskano na walang imik dahil sa may iniisip—¿hindi baga lalong mabuti, sa palagay ninyo, na dapat sanang hindi sa isang yungib siya inilagay ng Arsobispo kung di sa isang beaterio, sa Santa Clara, sa halimbawa? | Marahil ay naging mainam pa, lalo pang kabanalan, lalo pang maganda, lalo pang kapit sa ugali dito, ang kulungin siya sa Santa Clara, na waring isang bagong Eloisa, upang madalaw at mahimok maminsanminsan, ¿Ano ang sabi ninyo? | Sinundan ang karuahe, nawala sa kaniyang paningin, ipinagtanong ang bahay, at sa dahilang noong araw na iyon pumasok si Maria Clara sa kombento at si kapitang Tiago ay nalulungkot, ay natanggap siyang alila, na walang upa, ngunit sa isang dako naman ay may pahintulot siyang makapag-aral, kung kailan niya ibig, sa San Juan de Letran.","noli:40,noli:28,noli:35,noli:27,noli:48,noli:47,noli:7,noli:3,noli:31,noli:34"
Victorina,102,"At si aling Victorina na siyang tanging babaing nakiupo sa lipon ng mga europeo ay siyang makapagsasabi kung ang bapor Tabo ay tamad, masuwayin at masumpungin; si aling Victorina, na gaya ng karaniwan ay napakamasindakin, ay nagtutungayaw sa mga kasko, banka, balsa ng niyog, mga indio na namamangka at sampung mga naglalaba at nagsisipaligo na kinayayamutan niya dahil sa pagkakatuwa at kaingayan! | At si aling Victorina na siyang tanging babaing nakiupo sa lipon ng mga europeo ay siyang makapagsasabi kung ang bapor Tabo ay tamad, masuwayin at masumpungin; si aling Victorina, na gaya ng karaniwan ay napakamasindakin, ay nagtutungayaw sa mga kasko, banka, balsa ng niyog, mga indio na namamangka at sampung mga naglalaba at nagsisipaligo na kinayayamutan niya dahil sa pagkakatuwa at kaingayan! | Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang buong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na D. Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang canonigo na gaya ni P. Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Capitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba!","elfili:35,noli:47,noli:1,noli:3,elfili:12,noli:59,elfili:21,noli:44,noli:42,noli:51"
Custodio,90,"Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang buong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na D. Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang canonigo na gaya ni P. Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Capitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba! | Pati si D. Custodio ay napalingon. | Tangi si D. Custodio, ang may magandang loob na si D. Custodio, na dahil sa kaniyang malayang kalagayan at matataas na katungkulang ginaganap, ay nag-akalang nararapat na bakahin niya ang isang panukala na hindi sa kaniya buhat—¡iyon ay isang pangungunang bait!","elfili:14,elfili:19,elfili:11,elfili:21,elfili:25,elfili:15,elfili:20,elfili:35,elfili:1,elfili:18"
voces,88,"Umaaticabong nangagsasalitaan ang ilang mga cadete; ngunit mahihina ang voces, sa isa sa mga suloc at manacanacang tinitingnan nila at itinuturo ng daliri ang ilang mga taong na sa salas, at silasila'y nangagtatawanang ga inililihim ng hindi naman; ang bilang capalit nama'y ang dalawang extrangero na capowa nacaputi ng pananamit, nangacatalicod kamay at di umiimic ay nangagpaparoo't paritong malalaki ang hacbang sa magcabicabilang dulo ng salas, tulad sa ginagawa ng mga naglalacbay-dagat sa ""cubierta"" ng isang sasacyan. | Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang canyang voces sa pananalita, tulad sa isang taong kailan ma'y hindi naaalang-alang, palibhasa'y ipinalalagay na banal at wala ng gagaling pa sa canyang sinasabi, kinacatcat ang saclap ng gayong ugali ng canyang tawang masaya at bucas, at hangang sa napipilitan cang sa kanya'y ipatawad ang pagpapakita ng mga paang walang calcetin at mga binting mabalahibo, na icakikita ng maraming pagkabuhay ng isang Mendicta sa mga feria sa Kiapo. | —Ako, sa halimbawa—ang patuloy na pananalita ni Fr. Damaso, na lalong itinaas ang voces at ng di na macaimic ang canyang causap—ako'y mayroon na ritong dalawampo at tatlong taong saguing at ""morisqueta"", macapagsasabi ako ng mapapaniwalaan tungkol sa bagay na iyan.","noli:14,noli:16,noli:28,noli:12,noli:13,noli:27,noli:7,noli:29,noli:1,noli:10"
Capitan,85,"Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang buong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na D. Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang canonigo na gaya ni P. Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Capitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba! | Walang makapangahas na makisali sa gayong mga pag-alimura; si D. Custodio ay mangyayaring makipagsira sa Capitan General kung ibig niya, ngunit ni si Ben-Zayb, ni si P. Irene, ni si P. Salvi, ni ang hinalay na si P. Sibyla ay walang katiwala sa paglilihim ng iba. | Dahil dito’y pumanaog ang isang utos ng Capitan General na nagbabawal ng paggamit ng baril at ipinasasamsam na lahat.","noli:14,noli:40,elfili:35,noli:35,noli:47,noli:34,elfili:4,noli:6,elfili:33,noli:42"
Alcalde,77,"Nagpapagawa ng mga tulang pangpuri sa mga taong sinabi na, ng mga himnong ipinagdiriwang ang ""mabait at mairog na Gobernador; matapang at mapagsicap na Alcalde, na pinaghahandaan sa langit ng palma ng mga banal"" (o palmeta) at iba't iba pang mga bagay. | Ito'y isang culang palad na hindi nag-uutos, siya ang sumusunod; hindi nacapagmumura kanino man, siya ang minumura; hindi nagagawa niya ang maibigan, ginagawa sa kanya ang calooban ng iba; ang capalit nito'y nananagot siya sa Alcalde mayor ng lahat ng sa kanya'y ipinag-utos, ipinagawa at ipinatatag sa kanya ng mga iba, na para manding nanggaling sa bungo ng canyang ulo ang lahat ng iyon; ngunit dapat sabihin, sa icapupuri niya, na ang catungculang canyang hawac ay hindi niya ninacaw o kinamcam: upang tamuhi'y nagcagugol siya ng limang libong piso, at maraming cadustaan, ngunit sa napapakinabang niya'y canyang inaacalang murangmura ang mga gugol na iyon. | Nag magtanong sa kanya ang Alcalde tungkol sa bagay na sinabi ko na sa iyo, walang sinabi siya kung di pawang mga pagpuri sa akin, at hindi nag-acalang maglagay ng cahit caunting hadlang man lamang.","noli:40,noli:39,noli:38,noli:6,noli:28,noli:32,noli:35,noli:42,noli:29,noli:31"
Placido,76,"Masama ang loob at halos ang mga mata’y lumuluha ng lumalakad sa Escolta si Placido Penitente upang tumungo sa Universidad ng Sto. | Si Placido ay naglalakad sa liwasan ni Magallanes upang pumasok sa butas—dating pinto—ng Sto. | —Ganoon, ganoon—ang sagot na may kamuhian ni Placido—¿at ikaw?","elfili:12,elfili:13,elfili:19,elfili:28"
bulaclac,70,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaclac na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring culay at may mga dibujong hindi mapaglirip. | —Kung hindi totoong gulo ang canyang isip, at kung siya sana'y maibiguing macaalam ng mga ginagawa ng capowa tao'y marahil ninais niyang mapanood, sa pamamag-itan ng isang gemelos, ang nangyayari sa kinalalagyan ng gayong caliwanagan; marahil canyang hinangaan ang isa, riyan sa mga cahimahimalang napapanood, isa riyan sa mga talinghagang napakikita, na maminsanminsang natitingnan sa mga malalaking teatro sa Europa, na sa marahan at caayaayang tinig ng orquesta ay nakikitang sumisilang sa gitna ng isang ulan ng ilaw, ng isang bumubugsong agos ng mga diamante at guinto, sa isang carikitdikitang mga pamuti, nababalot ng lubhang manipis at nanganganinag na gasa ang isang diosa, ang isang ""silfide"" na lumalacad na halos hindi sumasayad ang paa sa tinatapacan, naliliguid at inagaapayanan ng maningning na sinag: sa canyang pagdating ay kusang sumisilang ang mga bulaclac, nagbibigay galac, ang mga sayaw, nangapupucaw ang matimyas na tugtugan, at ang mga pulutong ng mga diablo, mga ninfa, mga satiro, mga genio, mga zagala, mga angel mga pastor ay sumasayaw, guinagalaw ang mga pandereta, nangagpapaliguidliguid at inihahandog ng bawa't isa sa paanan ng diosa ang canicanilang alay. | Siya'y maputi, napacaputi marahil, ang mga matang halos laguing sa ibaba ang tingin ay pawang nangagpapakilala ng isang calolowang calinislinisan, at pagka siya'y ngumingiti at natatanyag ang canyang mapuputi at malilit na mga ngipin, masasabing ang isang rosa'y bulaclac lamang ng kahoy, at ang garing ay pangil ng gadya lamang.","noli:12,noli:13,noli:27,noli:48,noli:47,noli:7,noli:1,noli:10,noli:34,noli:62"
