book_title,chapter_number,chapter_title,sentence_number,sentence_text
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,1,Sic itur ad astra.
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,2,"Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,3,"Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang pangalan; napakarumi kahit na may nasa siyang maging maputi, malumanay at waring nagmamalaki dahil sa kaniyang banayad na lakad."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,4,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa taglay niya ang sadyang ugali ng mga bagay-bagay ng bayan, isang wari’y tagumpay na laban sa pagkakasulong, isang bapor na hindi tunay na bapor ang kabuoan, isang sangkap na hindi nagbabago, hindi ayos ngunit hindi mapag-aalinlanganan, na, kung ibig mag-anyong makabago ay nasisiyahan na ng boong kalakhan sa isang pahid ng pintura."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,5,Na ang bapor na ito’y tunay na pilipino!
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,6,"Kaunting pagpapaumanhin lamang ang gamiti’t pagkakamanlang siya ang daong ng Pamahalaan, na nayari sa ilalim ng pagsisiyasat ng mga Reberendo at mga Ilustrisimo!"
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,7,"Balot ng liwanag sa umaga, hayo na ang maputi niyang katawan (na iniwawasiwas ang maitim na usok) na nagpapagalaw sa alon ng ilog at nagpapaawit sa hangin sa mga maigkas na kawayang nasa sa magkabilang pangpang; may nagsasabing nag-uumusok din ang daong ng Pamahalaan!..."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,8,"Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig makapanaig sa tulong ng sigaw, kaya’t sa loob ng bapor ay hindi magkarinigan, ang lahat ng makatagpo’y pinagbabalaan; minsa’y waring ibig durugin ang mga salambaw, (mga yayat na kagamitan sa pangingisda) na ang galaw ay waring kalansay ng gigante na yumuyuko sa isang pagong na nabuhay sa kapanahunang dako pa roon ng pag-apaw ng tubig sa boong mundo; minsa’y tumatakbong tungo sa mga kakawayanan o kaya’y sa mga karihan, na napapalamutihan ng gumamela at iba pang bulaklak, na waring mga magsisipaligong nakalubog na sa tubig ang mga paa’y ayaw pang maglublob... minsa’y sa pagsunod sa daang itinuturo ng ilang kawayang nakatirik sa ilog ay lumalakad ng boong kasiyahang loob ang bapor; ngunit ang isang biglang pagkakabagok ay kaunti nang ikinabuwal ng mga sakay; napadumog sa isang burak na mababaw na hindi hinihinala nino man......"
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,9,"At kung ang pagkakawangki sa daong ng Pamahalaan ay hindi pa lubos, ay tingnan ang pagkakalagay ng mga lulan."
El Filibusterismo,1,Sa Ibabaw ng Kubyerta,10,"Sa ilalim ng cubierta ay nangagdungaw ang mga mukhang kayumanggi at maiitim ng mga taga rito, mga insik at mestiso na nagkakasiksikang kasama ng mga lulang kalakal at mga kaban, samantalang sa itaas, sa ibabaw ng cubierta at sa lilim ng isang panambil na nagtatanggol sa kanila sa init ng araw, ay nangakaupo sa maginhawang luklukan ang ilang sakay na suot taga Europa, mga prayle at mga kawani, na humihitit ng malalaking tabako, samantalang tinatanaw ang mga dinadaanan, na hindi man napupuna ang mga pagsusumakit ng kapitan na maiwasan ang mga balakid sa ilog."
