book_title,author,source,source_filename,chapter_index,chapter_title,para_index_in_chapter,global_para_index,text,text_type
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,0,1,ALAALA,chapter_title
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,1,2,sa mg̃a paring G. Mariano GOMEZ (85 taón) José BURGOS (30 taón) at Jacinto ZAMORA (35 taón) na binitay sa Bagumbayan ng̃ ika 28[A] ng̃ Febrero ng̃ taóng 1872.,paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,2,3,"Sa dî pagsang-ayon ng̃ Relihion na alisán kayó ng̃ karang̃alan sa pagkaparì ay inilagáy sa alinlang̃an ang kasalanang ibinintáng sa inyó; sa pagbabalot ng̃ hiwagà’t kadilimán sa inyóng usap ng̃ Pamahalàan ay nagpakilala ng̃ isáng pagkakamalîng nágawâ sa isáng masamâng sandalî, at ang boông Pilipinas, sa paggalang sa inyóng alaala at pagtawag na kayó’y mg̃a PINAGPALA, ay hindî kiníkilalang lubós ang inyóng pagkakasala.",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,3,4,"Samantala ng̃âng hindî naipakíkilalang maliwanag ang inyóng pagkakálahók sa kaguluhan, nagíng bayani kayó ó dî man, nagkaroon ó dî man kayó ng̃ hilig sa pagtatanggol ng̃ katwiran, nagkaroon ng̃ hilig sa kalayâan, ay may karapatán akóng ihandóg sa inyó, na bilang ginahís ng̃ kasamaáng ibig kong bakahin, ang aking gawâ. At samantalang inaantáy namin na kilalanin sa balang araw ng̃ España ang inyóng kabutihan at hindî makipanagót sa pagkakápatáy sa inyó, ay magíng putong na dahong tuyô na lamang ng̃ inyóng mg̃a liblíb na libing̃an ang mg̃a dahong itó ng̃ aklát, at lahát niyong walâng katunayang maliwanag na umupasalà sa inyóng alaala, ay mabahiran nawâ ng̃ inyóng dugô ang kaniláng mg̃a kamáy.",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",0,ALAALA,4,5,J. Rizal.,paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,0,6,I SA CUBIERTA,chapter_title
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,1,7,Sic itur ad astra.,epigraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,2,8,"Isáng umaga ng̃ Disiembre ay hiráp na sumasalung̃a sa palikólikông linalakaran ng̃ ilog Pasig ang bapor Tabò, na may lulang maraming tao, na tung̃o sa Lalaguna. Ang bapor ay may anyông bagól, halos bilóg na warì’y tabò na siyáng pinanggaling̃an ng̃ kaniyang pang̃alan; nápakarumí kahit na may nasà siyang magíng maputî, malumanay at warìng nagmamalakí dahil sa kaniyang banayad na lakad. Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhî marahil sa pang̃alan niyang tagalog ó dahil sa tagláy niya ang sadyâng ugalì ng̃ mg̃a bagay-bagay ng̃ bayan, isáng warì’y tagumpáy na laban sa pagkakasulong, isáng bapor na hindî tunay na bapor ang kabuòan, isáng sangkáp na hindî nagbabago, hindî ayos ng̃unì’t hindî mapag-aalinlang̃anan, na, kung ibig mag-anyông makabago ay nasisiyahan na ng̃ boong kalakhán sa isáng pahid ng̃ pintura.",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,3,9,"Na ang bapor na itó’y tunay na pilipino! Kauntìng pagpapaumanhín lamang ang gamiti’t pagkakamanláng siya ang daóng ng̃ Pamahalàan, na nayarì sa ilalim ng̃ pagsisiyasat ng̃ mg̃a Reberendo at mg̃a Ilustrísimo!",paragraph
ANG “FILIBUSTERISMO”[*] (Karugtóng ng̃ NOLI ME TANGERE),J. RIZAL,Project Gutenberg,"Ang _Filibusterismo_, by José Rizal_ A Project Gutenberg eBook.html",1,I SA CUBIERTA,4,10,"Balót ng̃ liwanag sa umaga, hayo na ang maputî niyang katawán (na iniwawasiwas ang maitim na usok) na nagpapagaláw sa alon ng̃ ilog at nagpapaawit sa hang̃in sa mg̃a maigkás na kawayang nasa sa magkábilang pangpáng; may nagsasabing nag-uumusok din ang daóng ng̃ Pamahalàan!... Sa bawà’t sandalî’y tumítilî ang pasuit na paós at mapagbalà na warì’y isáng manggagahís na ibig makapanaíg sa tulong ng̃ sigáw, kayâ’t sa loób ng̃ bapor ay hindî magkarinigan, ang lahát ng̃ mákatagpô’y pinagbabalàan; minsa’y warìng ibig durugin ang mg̃a salambáw, (mg̃a yayat na kagamitán sa pang̃ing̃isdâ) na ang galáw ay warìng kalansáy ng̃ gigante na yumúyukô sa isáng pagóng na nabuhay sa kapanahunang dako pa roon ng̃ pag-apaw ng̃ tubig sa boông mundó; minsa’y tumátakbóng tung̃o sa mg̃a kakawayanán ó kayâ’y sa mg̃a karihan, na napapalamutihan ng̃ gumamela at ibá pang bulaklák, na warìng mg̃a magsisipaligòng nakalubóg na sa tubig ang mg̃a paa’y ayaw pang maglublób... minsa’y sa pagsunód sa daáng itinuturò ng̃ iláng kawayang nakatirik sa ilog ay lumalakad ng̃ boông kasiyahang loób ang bapor; ng̃unì’t ang isáng biglâng pagkakabagók ay kauntî nang ikinabuwal ng̃ mg̃a sakáy; nápadumog sa isáng burak na mababaw na hindî hinihinalà nino man......",paragraph
