dataset,chapter_number,sentence_number,source_form,target_form,context_snippet
elfili,1,4,boong,buong,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa taglay niya ang sadyang ugali ng mga bagay-bagay ng bayan, isang wari’y tagumpay na laban sa pagkakasulong, isang bapor na hindi tunay na bapor ang kabuoan, isang sangkap na hindi nagbabago, hindi ayos ngunit hindi mapag-aalinlanganan, na, kung ibig mag-anyong makabago ay nasisiyahan na ng boong kalakhan sa isang pahid ng pintura."
elfili,1,8,boong,buong,"Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig makapanaig sa tulong ng sigaw, kaya’t sa loob ng bapor ay hindi magkarinigan, ang lahat ng makatagpo’y pinagbabalaan; minsa’y waring ibig durugin ang mga salambaw, (mga yayat na kagamitan sa pangingisda) na ang galaw ay waring kalansay ng gigante na yumuyuko sa isang pagong na nabuhay sa kapanahunang dako pa roon ng pag-apaw ng tubig sa boong mundo; minsa’y tumatakbong tungo sa mga kakawayanan o kaya’y sa mga karihan, na napapalamutihan ng gumamela at iba pang bulaklak, na waring mga magsisipaligong nakalubog na sa tubig ang mga paa’y ayaw pang maglublob... minsa’y sa pagsunod sa daang itinuturo ng ilang kawayang nakatirik sa ilog ay lumalakad ng boong kasiyahang loob ang bapor; ngunit ang isang biglang pagkakabagok ay kaunti nang ikinabuwal ng mga sakay; napadumog sa isang burak na mababaw na hindi hinihinala nino man......"
elfili,1,8,boong,buong,"Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig makapanaig sa tulong ng sigaw, kaya’t sa loob ng bapor ay hindi magkarinigan, ang lahat ng makatagpo’y pinagbabalaan; minsa’y waring ibig durugin ang mga salambaw, (mga yayat na kagamitan sa pangingisda) na ang galaw ay waring kalansay ng gigante na yumuyuko sa isang pagong na nabuhay sa kapanahunang dako pa roon ng pag-apaw ng tubig sa boong mundo; minsa’y tumatakbong tungo sa mga kakawayanan o kaya’y sa mga karihan, na napapalamutihan ng gumamela at iba pang bulaklak, na waring mga magsisipaligong nakalubog na sa tubig ang mga paa’y ayaw pang maglublob... minsa’y sa pagsunod sa daang itinuturo ng ilang kawayang nakatirik sa ilog ay lumalakad ng boong kasiyahang loob ang bapor; ngunit ang isang biglang pagkakabagok ay kaunti nang ikinabuwal ng mga sakay; napadumog sa isang burak na mababaw na hindi hinihinala nino man......"
elfili,1,17,boong,buong,"Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang boong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na D. Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang canonigo na gaya ni P. Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Capitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba!"
elfili,1,28,boong,buong,—ang paalipustang tutol ni aling Victorina—¿bakit hindi boong tulin?
elfili,1,33,boong,buong,"Sa dahilang ang kaniyang boong hangad sapol ng magkaasawa ay ang mag-anyong europea, sa tulong ng ilang mahalay na kaparaanan, ay nahulog ding unti-unti ang kaniyang ayos sa isang anyong, sa kasalukuyan, kahi’t na magtulong si Quatrefages at si Virchow ay hindi mawawatasan kung sa aling lahing mga kilala siya maihahalo."
elfili,1,36,boong,buong,"Ngunit ang asawa, sindak sa nagawang kasalanan, na sa kaniya’y waring isang kakilakilabot na pagpatay sa kabiyak ng puso ang gayong nagawa, habol ng mga furia sa tahanan (ang dalawang aso at isang loro sa bahay), ay nagtatakbo ng boong tuling ipinahintulot ng kaniyang pilay, lumulan sa unang sasakyang natagpuan, sumakay sa unang bangkang nakita sa isang ilog, at, Ulises na pilipino, nagpagalagala sa mga bayan-bayan, sa isa’t isang lalawigan, sa isa’t isang pulo, na pinamumuntutan ng kaniyang Calipso, na naka quevedo, na nakayayamot sa bawa’t makasama sa paglalakbay."
elfili,1,42,boong,buong,"sa gitna ng kasiyahang loob ng mga nakikinig at sa gitna rin naman ng boong pagkainip ng isang matandang paring pransiskano, na lubhang napakapayat at nangangalirang, at ng isang dominiko na maganda ang tindig na nagbabakas.... nagbabakas sa kaniyang mga labi ng isang ngiting pakutya."
elfili,4,53,boong,buong,"Yao’t dito siya sa pangulong bayan ng lalawigan, nakararaan siya ng boong maghapon na hindi kumakain at hindi natutulog, at ang kaniyang pakikipagusap ay pawang tungkol sa mga kasulatan, pagharap, paghahabol sa lalong may mataas na kapangyarihan, ibp."
elfili,4,122,boong,buong,"Iminunkahi ng isang kalapit na ipagbili ang bahay, bagay na sinangayunan ni tandang Selo ng boong lugod, sapagka’t babalik sa gubat upang makapangahoy na muli na gaya noong una, ngunit ang gayon ay hindi mangyayari ang sabi ni Hermana Bali sa dahilang wala ang tunay na may-ari."
elfili,4,139,boong,buong,"ang binibining yaon na siyang pinakamaganda sa nayon at marahil ay sa boong bayan, na lagi nang tinatapatan ng mga binatang nagtutugtugan at nagkakantahan, ¡di yata!"
elfili,6,16,boong,buong,"May labing tatlong taon nang ganap na ganap na namatay doon ang kanyang ina, sa gitna ng karalitaan, nang isang magandang gabi na ang buwan ay maliwanag at ang mga kristiano sa boong mundo ay naggagalak."
