old_token,new_token,frequency,confidence,reason,reviewer_decision,decision_note
caunti,kaunti,55,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catungculan,katungkulan,54,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catuwiran,katuwiran,53,HIGH,C_TO_K,APPROVED,AUTO_SAFE
acala,akala,53,HIGH,C_TO_K,APPROVED,AUTO_SAFE
kinacailangang,kinakailangang,51,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casalanan,kasalanan,50,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bangca,bangka,47,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcaroon,magkaroon,46,HIGH,C_TO_K,APPROVED,AUTO_SAFE
sacali't,sakali't,46,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capuwa,kapuwa,46,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawacasa'y,kawakasa'y,45,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nauucol,nauukol,45,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bucod,bukod,43,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cabuluhan,kabuluhan,42,HIGH,C_TO_K,APPROVED,AUTO_SAFE
inaacala,inaakala,42,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawangis,kawangis,41,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pagdaca'y,pagdaka'y,40,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caunting,kaunting,39,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caisipan,kaisipan,39,HIGH,C_TO_K,APPROVED,AUTO_SAFE
camahalan,kamahalan,38,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcagayo'y,magkagayo'y,37,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagalingan,kagalingan,37,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pagtataca,pagtataka,37,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahulugan,kahulugan,36,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catahimican,katahimikan,36,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cata,kata,34,HIGH,C_TO_K,APPROVED,AUTO_SAFE
franciscano,franciskano,34,HIGH,C_TO_K,APPROVED,AUTO_SAFE
