book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,ISANG PAGCACAPISAN.,1,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Guinoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Capitang Tiago, anyayang baga man niyon lamang hapong iyon canyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,2,"Ng panahong yao'y lumalagay si Capitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang canyang bahay at ang canyang kinamulatang bayan ay hindi nagsasara ng pinto canino man, liban na lamang sa mga calacal o sa ano mang isip na bago o pangahas."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,3,"Cawangis ng kislap ng lintic ang cadalian ng pagcalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa canyang walang hanggang cabaitan, at canyang pinararami ng boong pag-irog sa Maynila."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,4,"Nangagsihanap ang iba nang ""betun"" sa canilang zapatos, mga boton at corbata naman ang iba, nguni't silang lahat ay nangag iisip cung paano caya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng caibigan, o cung magcatao'y humingi pang tawad na hindi nacadalong maaga."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,5,"Guinawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang canyang bilang (numero), aming sasaysayin ang canyang anyo upang makilala ngayon, sacali't hindi pa iguiniguiba ng mga lindol."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,6,"Hindi cami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagca't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagcayari upang gawin ang maraming bagay."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,7,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na cung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagcapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at cung magcabihira pa'y cucunan ng tubig na inumin, cung minamagaling ng tagaiguib na insic."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,8,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na cahoy, na sa anim na bowa'y sira ang cabilang panig at ang cabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga cabayo, cung panahong tag-init, canilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,9,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagcacaanyo; cung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,10,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaclac na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring culay at may mga dibujong hindi mapaglirip."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,11,"Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhic, ¡oh icaw na bumabasa sa akin, catoto o caaway!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,12,"sacali't naaakit icaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't cubiertos at ibig mong mapanood cung paano ang mga piguing doon sa Perla ng Casilanganan."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,13,"Cung sa aking caibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysay ng calagayan ng bahay; nguni't lubhang mahalaga ito, palibhasa'y ang caraniwan sa mga may camatayang gaya natin ay tulad sa pawican: hinahalagahan at hinihirang tayo alinsunod sa ating talucab o tinatahanang bahay; dahil dito't sa iba pang mga anyo ng asal, cawangis nga ng mga pawican ang mga may camatayan sa Filipinas."
