book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,1,"Nag-anyaya ng pagpapakain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang kaugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,2,"Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,3,"Cawangis ng kislap ng lintic ang kadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""kolado"", na kinapal ng Dios sa kanyang walang hanggang kabaitan, at kanyang pinararami ng buong pag-irog sa Maynila."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,4,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at korbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,5,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang kanyang bilang (numero), aming sasaysayin ang kanyang anyo upang makilala ngayon, sakali't hindi pa iguiniguiba ng mga lindol."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,6,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagkayari upang gawin ang maraming bagay."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,7,"—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,8,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng koche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,9,"May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arkitectong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,10,"Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,11,"Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhik, ¡oh ikaw na bumabasa sa akin, katoto o kaaway!"
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,12,"sakali't naaakit ikaw ng tugtog ng orkesta, ng ilaw o ng makahulugang ""clin-clan"" ng mga pingga't kubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,13,"Kung sa aking kaibigan lamang at sa aking sariling kaguinhawahan, hindi kata papagalin sa pagsasaysay ng kalagayan ng bahay; ngunit lubhang mahalaga ito, palibhasa'y ang karaniwan sa mga may kamatayang gaya natin ay tulad sa pawikan: hinahalagahan at hinihirang tayo alinsunod sa ating talukab o tinatahanang bahay; dahil dito't sa iba pang mga anyo ng asal, kawangis nga ng mga pawikan ang mga may kamatayan sa Filipinas."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,14,"—Kung pumanhik tayo'y agad nating mararating ang isang malowang na tahanang kung tawaguin doo'y ""kaida"", ayawan kung bakit, na ng gabing ito'y guinagamit na ""komedor"" at tuloy salon ng orkesta."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,15,"Sa gitna'y may isang mahabang mesa, na nahihiyasan ng marami at mahahalagang pamuti, na tila mandin kumikindat sa ""kolado,"" taglay ang katamistamisang mga pangako, at nagbabala sa matatakuting binibini, sa walang malay na dalaga, ng dalawang nakaiinip na oras sa kasamahan ng mga hindi kakilala, na ang pananalita't mga pakikikiusap ay ang karaniwa'y totoong kakaiba."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,16,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauukol, ang sumasapader na mga kuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagkamatay ng banal,"" ""Ang pagkamatay ng makasalanan,"" at sa duyo'y naliliguid nang isang maringal at magandang ""marko"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo'y napapanood ang dalawang matandang babae."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,17,"Ganito ang saysay ng doo'y titic: ""Nuestra Señora de la Paz y Buen Viaje, na sinasamba sa Antipolo, sa ilalim ng anyong babaeng magpapalimos, dinadalaw sa kanyang pagkakasakit ang banal at bantog na si Capitana Ines""."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,18,"Tunay mang ang pagkakapinta'y hindi nagpapakilala ng ""arte"" at kabutihang lumikha, datapwat nagsasaysay naman ng karaniwang mamalas: ang babaeng may sakit ay tila na bangkay na nabubuloc, dahil sa kulay dilaw at azul ng kanyang mukha; ang mga vaso't iba pang mga kasangkapan, iyang maraming mga natitipong bagay bagay sa mahabang pagkakasakit ay doo'y lubhang mabuti ang pagkakasipi, na ano pa't napapanood pati ng linalaman."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,19,"Sa panonood ng mga kalagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ukol sa paglasap ng masasarap na bagay bagay, marahil akalain ng ilang may masamang isipan ang may-ari ng bahay, na napagkikilalang magaling ang kalooban ng halos lahat ng mga magsisiupo sa mesa, at ng huwag namang mahalatang totoo ang kanyang panukala, nagsabit sa kizame ng maririkit na lamparang gawa sa China, mga jaulang walang ibon, mga bolang cristal na may azogueng may kulay pula, verde at azul, mga halamang pangbiting lanta na, mga tuyong isdang botete na hinipa't ng bumintog, at iba pa, at ang lahat ng ito'y nakukulong sa may dakong ilog ng maiinam na mga arkong kahoy, na ang anyo'y alangang huguis europeo't alangang huguis insic, at may natatanaw namang isang ""azoteang"" may mga balag at mga ""glorietang"" bahagya na naliliwanagan ng mga maliliit na farol na papel na may sarisaring kulay."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,20,"Nasasalas ang mangagsisikain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga araña: at doon sa ibabaw ng isang tarimang pino ay may isang mainam na ""piano de kola"", na ang halaga'y kamalacmalac, at lalo ng mahalaga ng gabing ito, sa pagka't sino ma'y walang tumutugtog."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,21,"Doo'y may isang larawang ""al oleo"" ng isang lalaking makisig, nakafrac, unat, matuwid, timbang na tulad sa bastong may borlas na taglay sa mga matitigas na daliring puspos ng mga sinsing: wari'y sinasabi ng larawan:"
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,22,—¡Ehem!
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,23,¡masdan ninyo kung gaano karami ang suot ko at ako'y hindi tumatawa!
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,24,"Magaganda ang mga kasangkapan, baga man marahil ay hindi maguinhawahang gamitin at nakasasama pa sa katawan: hindi nga ang ikaiilag sa sakit ng kanyang mga inaanyayahan ang naiisip ng may-ari, kung di ang sariling pagmamarikit."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,25,"—¡Tunay at kakilakilabot na bagay ang pag-iilaguin, datapwat kayo nama'y umuupo sa mga sillong gawang Europa, at hindi palaguing makakatagpo kayo ng ganyan!"
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,26,—ito marahil ang sinasabi niya sa kanila.
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,27,"Halos puno ng tao ang salas: hiwalay ang mga lalaki sa mga babae, tulad sa mga sambahang katoliko at sa mga sinagoga."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,28,"Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bibig upang piguilin ang isang hikab; ngunit pagdaka'y tinatacpan nila ng kanilang mga abaniko; bahagya na nangagbubulungan ng ilang mga pananalita; ano mang pag-uusap na ipinagsusumalang pasimulan, pagdaka'y naluluoy sa ilang putol-putol na sabi; katulad niyang mga ingay na nariringig kung gabi sa isang bahay, mga ingay na gawa ng mga daga at ng mga butiki."
