book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,1,"Nag-anyaya ng pagpapakain nang isang hapunan, ng magtatapos ang Oktubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang kaugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundok, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,2,"ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong magilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,3,"Kawangis ng kislap ng lintik ang kadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""kolado"", na kinapal ng Diyos sa kanyang walang hanggang kabaitan, at kanyang pinararami ng buong pag-irog sa Maynila."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,4,"Nangagsihanap ang iba nang ""betun"" sa kanilang sapatos, mga boton at kurbata naman ang iba, nguni't silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,5,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang kanyang bilang (numero), aming sasaysayin ang kanyang anyo upang makilala ngayon, sakali't hindi pa iginigiba ng mga lindol."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,6,"Hindi kami naniniwalang ipinagiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Diyos o ang Naturaleza, na tumanggap din sa ating Gobyerno ng pakikipagkayari upang gawin ang maraming bagay.—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawagin ng iba'y ""ria"" (ilat) ng Binundok, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaigib na insik."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,7,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumukso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng coche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,8,"May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitektong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,9,"Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasok ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maketa at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
Noli Me Tangere,1,ISANG PAGKAKAPISAN.,10,"Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhik, ¡oh ikaw na bumabasa sa akin, katoto o kaaway! sakali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng makahulugang ""klin-klan"" ng mga pingga't kubiertos at ibig mong mapanood kung paano ang mga piging doon sa Perla ng Kasilanganan."
