book_title,author,source,source_filename,chapter_index,chapter_title,para_index_in_chapter,global_para_index,text,text_type
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,0,0,NOLI ME TANGERE,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,0,0,HUAG ACONG SALANG̃IN NINO MAN,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,1,1,Dr. J. RIZAL,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,2,2,NOLI ME TANGERE,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,3,3,Novelang wicang Castila na tinagalog,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,4,4,NI,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,5,5,PASCUAL H. POBLETE,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,6,6,Kilalang manunulat at Tagapatnubay ng̃ mg̃a unang Pamahayagang Tagalog.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,7,7,Schiller. Ang anino ni Shakespeare.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,8,8,MAYNILA,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,9,9,"Limbagan ni M. Fernandez PAZ, 447, Sta. Cruz.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,10,10,Ang sabing Noli me Tangere ay wikang latin. Mg̃a wika sa Evangelio ni San Lúcas. Ang cahulugán sa wikang tagalog ay Huwag acong salang̃in nino man. Tinatawag din namáng Noli me Tangere ang masamang bukol na nacamamatay na Cancer cung pamagatán ng̃ mg̃a pantás na mangagamot.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,11,11,"Sa hang̃ad na ang mg̃a librong NOLI ME TANGERE at FILIBUSTERISMO, na kinatha ng̃ Dr. Jose Rizal ay maunáwa at málasapang magaling ng̃ catagalugan, ang mg̃a doo'y sinasabing nagpapakilala ng̃ tunay nating calayaan at ng̃ dapat nating gawiin, at nacapagpapaálab, namán ng̃ ning̃as ng̃ ating puso sa pag-ibig sa kinamulatang lupa, minatapat cong ipalimbag ang isinawikang tagalog na mg̃a librong yaon, sa dahilang sa bilang na sampòng millong (sampong libong libo) filipino, humiguit cumulang, ay walang dalawampong libo ang tunay na nacatatalos ng̃ wicang castila na guinamit sa mg̃a kinathang yaón.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,12,12,"Cung pakinabang̃an ng̃ aking mg̃a calahi itong wagás cong adhica, walang cahulilip na towa ang aking tatamuhin, sa pagca't cahit babahagya'y nacapaglicod acó sa Inang-Bayan.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,13,13,"Maynila, unang araw ng̃ Junio ng̃ taong isang libo siyam na raan at siyam.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,14,14,"Saturnina Rizal ni Hidalgo,",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,15,15,ó,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,16,16,NENENG RIZAL.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,0,16,NOLI ME TANGERE,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,1,17,Catha sa wicang castila ni,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,2,18,Dr. José Rizal,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,3,19,at isinatagalog ni,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,4,20,Pascual H. Poblete,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,TALAAN NG NILALAMAN,0,20,TALAAN NG NILALAMAN,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,TALAAN NG NILALAMAN,1,21,PANGWACAS NA BAHAGUI.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,MGA LARAWAN,0,21,MGA LARAWAN,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],0,21,SA AKING TINUBUANG LUPA[1],chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],1,22,"Nátatalà sa ""historia"" ng̃ mg̃a pagdaralità ng̃ sangcataohan ang isáng ""cáncer"" na lubháng nápacasamâ, na bahagyâ na lámang másalang ay humáhapdi't napupucaw na roon ang lubháng makikirót na sakít. Gayón din naman, cailán mang inibig cong icáw ay tawáguin sa guitnâ ng̃ mg̃a bágong ""civilización"", sa hang̃ad co cung minsang caulayawin co ang sa iyo'y pag-aalaala, at cung minsan nama'y ng̃ isumag co icáw sa mg̃a ibáng lupaín, sa towî na'y napakikita sa akin ang iyong larawang írog na may tagláy ng̃ gayón ding cáncer sa pamamayan.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],2,23,"Palibhasa'y nais co ang iyong cagaling̃ang siyáng cagaling̃an co rin namán, at sa aking paghanap ng̃ lalong mabuting paraang sa iyo'y paggamót, gágawin co sa iyo ang guinágawà ng̃ mg̃a tao sa úna sa canilang mg̃a may sakít: caniláng itinátanghal ang mg̃a may sakít na iyan sa mg̃a baitang ng̃ sambahan, at ng̃ bawa't manggaling sa pagtawag sa Dios ay sa canilá'y ihatol ang isáng cagamutan.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],3,24,"At sa ganitóng adhica'y pagsisicapan cong sipîing waláng anó mang pacundang̃an ang iyong tunay na calagayan, tatalicwasín co ang isáng bahagui ng̃ cumot na nacatátakip sa sakít, na anó pa't sa pagsúyò sa catotohanan ay iháhandog co ang lahát, sampô ng̃ pagmamahál sa sariling dang̃ál, sa pagcá't palibhasa'y anác mo'y tagláy co rin namán ang iyong mg̃a caculang̃án at mg̃a carupucán ng̃ púsò.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],4,25,Ang Cumatha.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],5,26,"Europa, 1886.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,0,26,NOLI ME TANGERE,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,NOLI ME TANGERE,0,26,I.,chapter_number
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,0,26,ISANG PAGCACAPISAN.,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,1,27,"Nag-anyaya ng̃ pagpapacain nang isáng hapunan, ng̃ magtátapos ang Octubre, si Guinoong Santiago de los Santos, na lalong nakikilala ng̃ bayan sa pamagát na Capitang Tiago, anyayang bagá man niyón lamang hapong iyón canyang inihayág, laban sa dati niyang caugalìan, gayón ma'y siyang dahil na ng̃ lahát ng̃ mg̃a usap-usapan sa Binundóc, sa iba't ibang mg̃a nayon at hanggang sa loob ng̃ Maynílà. Ng̃ panahóng yao'y lumalagay si Capitang Tiagong isáng lalaking siyang lalong maguilas, at talastas ng̃ ang canyang bahay at ang canyang kinamulatang bayan ay hindî nagsásara ng̃ pintô canino man, liban na lamang sa mg̃a calacal ó sa anó mang isip na bago ó pang̃ahás.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,2,28,"Cawang̃is ng̃ kisláp ng̃ lintíc ang cadalîan ng̃ pagcalaganap ng̃ balítà sa daigdigan ng̃ mg̃a dápò, mg̃a lang̃aw ó mg̃a ""colado"", na kinapal ng̃ Dios sa canyang waláng hanggang cabaitan, at canyang pinararami ng̃ boong pag-irog sa Maynílà. Nang̃agsihanap ang ibá nang ""betún"" sa caniláng zapatos, mg̃a botón at corbata naman ang ibá, ng̃uni't siláng lahát ay nang̃ag iisip cung paano cayâ ang mabuting paraang bating lalong waláng cakimìang gagawin sa may bahay, upang papaniwalàin ang macacakitang sila'y malalaon ng̃ caibigan, ó cung magcatao'y huming̃í pang tawad na hindî nacadalóng maaga.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,3,29,"Guinawâ ang anyaya sa paghapong itó sa isáng bahay sa daang Anloague, at yamang hindî namin natatandâan ang canyang bilang (número), aming sásaysayin ang canyang anyô upang makilala ng̃ayón, sacali't hindî pa iguiniguibá ng̃ mg̃a lindól. Hindî camí naniniwalang ipinaguibâ ang bahay na iyon ng̃ may-arì, sa pagca't sa ganitong gawa'y ang namamahala'y ang Dios ó ang Naturaleza, na tumanggap din sa ating Gobierno ng̃ pakikipagcayarì upang gawín ang maraming bagay.—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mg̃a lupaíng itó; natatayô sa pampang ng̃ ilog na sang̃á ng̃ ilog Pasig, na cung tawaguin ng̃ iba'y ""ría"" (ilat) ng̃ Binundóc, at gumáganap, na gaya rin ng̃ lahát ng̃ ilog sa Maynílà, ng̃ maraming capacan-ang pagcapaliguan, agusán ng̃ dumí, labahan, pinang̃ing̃isdâan, daanan ng̃ bangcang nagdádala ng̃ sarisaring bagay, at cung magcabihirà pa'y cucunán ng̃ tubig na inumín, cung minamagalíng ng̃ tagaiguib na insíc. Dapat halataíng sa lubháng kinakailang̃ang gamit na itó ng̃ nayong ang dami ng̃ calacal at táong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagyâ na lamang nagcaroon ng̃ isang tuláy na cahoy, na sa anim na bowa'y sirâ ang cabiláng panig at ang cabilâ nama'y hindî maraanan sa nálalabi ng̃ taon, na ano pa't ang mg̃a cabayo, cung panahóng tag-init, canilang sinasamantala ang gayong hindî nagbabagong anyô, upang mulà roo'y lumucsó sa tubig, na ikinagugulat ng̃ nalilibang na táong may camatayang sa loob ng̃ coche ay nacacatulog ó nagdidilidili ng̃ mg̃a paglagô ng̃ panahón.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,4,30,"May cababâan ang bahay na sinasabi namin, at hindî totoong magaling ang pagcacàanyô; cung hindî napagmasdang mabuti ng̃ ""arquitectong"" namatnugot sa paggawâ ó ang bagay na ito'y cagagawán ng̃ mg̃a lindól at mg̃a bagyó, sino ma'y walang macapagsasabi ng̃ tucoy. Isáng malapad na hagdanang ma'y cacapitáng culay verde, at nalalatagan ng̃ alfombra sa mumunting panig ang siyang daanan mulâ sa silong ó macapasoc ng̃ pintuang nalalatagan ng̃ ""azulejos"" hanggang sa cabahayán, na ang linalacara'y napapag-itanan ng̃ mg̃a maceta at álagaan ng̃ mg̃a bulaclac na nacalagay sa ""pedestal"" na lozang gawâ sa China, na may sarisaring culay at may mg̃a dibujong hindî mapaglirip.",paragraph
