book_title,author,source,source_filename,chapter_index,chapter_title,para_index_in_chapter,global_para_index,text,text_type
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,0,0,NOLI ME TANGERE,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,0,0,HUAG ACONG SALANgIN NINO MAN,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,1,1,Dr. J. RIZAL,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,2,2,NOLI ME TANGERE,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,3,3,Novelang wikang Kastila na tinagalog,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,4,4,NI,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,5,5,PASCUAL H. POBLETE,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,6,6,Kilalang manunulat at Tagapatnubay ng mga unang Pamahayagang Tagalog.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,7,7,Schiller. Ang anino ni Shakespeare.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,8,8,MAYNILA,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,9,9,"Limbagan ni M. Fernandez PAZ, 447, Sta. Cruz.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,10,10,Ang sabing Noli me Tangere ay wikang latin. Mga wika sa Evangelio ni San Lucas. Ang cahulugan sa wikang tagalog ay Huwag akong salangin nino man. Tinatawag din namang Noli me Tangere ang masamang bukol na nacamamatay na Cancer kung pamagatan ng mga pantas na mangagamot.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,11,11,"Sa hangad na ang mga librong NOLI ME TANGERE at FILIBUSTERISMO, na kinatha ng Dr. Jose Rizal ay maunawa at malasapang magaling ng catagalugan, ang mga doo'y sinasabing nagpapakilala ng tunay nating calayaan at ng dapat nating gawiin, at nacapagpapaalab, naman ng ningas ng ating puso sa pag-ibig sa kinamulatang lupa, minatapat kong ipalimbag ang isinawikang tagalog na mga librong yaon, sa dahilang sa bilang na sampong millong (sampong libong libo) filipino, humiguit cumulang, ay walang dalawampong libo ang tunay na nacatatalos ng wikang kastila na guinamit sa mga kinathang yaon.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,12,12,"Kung pakinabangan ng aking mga calahi itong wagas kong adhica, walang cahulilip na towa ang aking tatamuhin, sa pagka't cahit babahagya'y nacapaglicod ako sa Inang-Bayan.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,13,13,"Maynila, unang araw ng Junio ng taong isang libo siyam na raan at siyam.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,14,14,"Saturnina Rizal ni Hidalgo,",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,15,15,o,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,HUAG ACONG SALANG̃IN NINO MAN,16,16,NENENG RIZAL.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,0,16,NOLI ME TANGERE,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,1,17,Catha sa wikang kastila ni,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,2,18,Dr. Jose Rizal,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,3,19,at isinatagalog ni,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,4,20,Pascual H. Poblete,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,TALAAN NG NILALAMAN,0,20,TALAAN NG NILALAMAN,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,TALAAN NG NILALAMAN,1,21,PANGWACAS NA BAHAGUI.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,MGA LARAWAN,0,21,MGA LARAWAN,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],0,21,SA AKING TINUBUANG LUPA[1],chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],1,22,"Natatala sa ""historia"" ng mga pagdaralita ng sangcataohan ang isang ""cancer"" na lubhang napacasama, na bahagya na lamang masalang ay humahapdi't napupucaw na roon ang lubhang makikirot na sakit. Gayon din naman, kailan mang inibig kong ikaw ay tawaguin sa gitna ng mga bagong ""civilizacion"", sa hangad ko kung minsang caulayawin ko ang sa iyo'y pag-aalaala, at kung minsan nama'y ng isumag ko ikaw sa mga ibang lupain, sa towi na'y napakikita sa akin ang iyong larawang irog na may taglay ng gayon ding cancer sa pamamayan.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],2,23,"Palibhasa'y nais ko ang iyong cagalingang siyang cagalingan ko rin naman, at sa aking paghanap ng lalong mabuting paraang sa iyo'y paggamot, gagawin ko sa iyo ang ginagawa ng mga tao sa una sa kanilang mga may sakit: kanilang itinatanghal ang mga may sakit na iyan sa mga baitang ng sambahan, at ng bawa't manggaling sa pagtawag sa Dios ay sa kanila'y ihatol ang isang cagamutan.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],3,24,"At sa ganitong adhica'y pagsisicapan kong sipiing walang ano mang pacundangan ang iyong tunay na kalagayan, tatalicwasin ko ang isang bahagui ng cumot na nacatatakip sa sakit, na ano pa't sa pagsuyo sa katotohanan ay ihahandog ko ang lahat, sampo ng pagmamahal sa sariling dangal, sa pagka't palibhasa'y anak mo'y taglay ko rin naman ang iyong mga caculangan at mga carupucan ng puso.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],4,25,Ang Cumatha.,paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,SA AKING TINUBUANG LUPA[1],5,26,"Europa, 1886.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,0,NOLI ME TANGERE,0,26,NOLI ME TANGERE,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,NOLI ME TANGERE,0,26,I.,chapter_number
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,0,26,ISANG PAGCACAPISAN.,chapter_title
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,1,27,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon canyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila. Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang canyang bahay at ang canyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga calacal o sa ano mang isip na bago o pangahas.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,2,28,"Cawangis ng kislap ng lintic ang cadalian ng pagcalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa canyang walang hanggang cabaitan, at canyang pinararami ng boong pag-irog sa Maynila. Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,3,29,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang canyang bilang (numero), aming sasaysayin ang canyang anyo upang makilala ngayon, sacali't hindi pa iguiniguiba ng mga lindol. Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagcayari upang gawin ang maraming bagay.—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagcapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic. Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang cabilang panig at ang cabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.",paragraph
Noli Me Tangere,Jose Rizal,Project Gutenberg,Noli Me Tangere | Project Gutenberg.html,1,ISANG PAGCACAPISAN.,4,30,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagcacaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy. Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaclac na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring culay at may mga dibujong hindi mapaglirip.",paragraph
