book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,ISANG PAGCACAPISAN.,1,"Nag-anyaya ng̃ pagpapacain nang isáng hapunan, ng̃ magtátapos ang Octubre, si Guinoong Santiago de los Santos, na lalong nakikilala ng̃ bayan sa pamagát na Capitang Tiago, anyayang bagá man niyón lamang hapong iyón canyang inihayág, laban sa dati niyang caugalìan, gayón ma'y siyang dahil na ng̃ lahát ng̃ mg̃a usap-usapan sa Binundóc, sa iba't ibang mg̃a nayon at hanggang sa loob ng̃ Maynílà."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,2,"Ng̃ panahóng yao'y lumalagay si Capitang Tiagong isáng lalaking siyang lalong maguilas, at talastas ng̃ ang canyang bahay at ang canyang kinamulatang bayan ay hindî nagsásara ng̃ pintô canino man, liban na lamang sa mg̃a calacal ó sa anó mang isip na bago ó pang̃ahás."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,3,"Cawang̃is ng̃ kisláp ng̃ lintíc ang cadalîan ng̃ pagcalaganap ng̃ balítà sa daigdigan ng̃ mg̃a dápò, mg̃a lang̃aw ó mg̃a ""colado"", na kinapal ng̃ Dios sa canyang waláng hanggang cabaitan, at canyang pinararami ng̃ boong pag-irog sa Maynílà."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,4,"Nang̃agsihanap ang ibá nang ""betún"" sa caniláng zapatos, mg̃a botón at corbata naman ang ibá, ng̃uni't siláng lahát ay nang̃ag iisip cung paano cayâ ang mabuting paraang bating lalong waláng cakimìang gagawin sa may bahay, upang papaniwalàin ang macacakitang sila'y malalaon ng̃ caibigan, ó cung magcatao'y huming̃í pang tawad na hindî nacadalóng maaga."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,5,"Guinawâ ang anyaya sa paghapong itó sa isáng bahay sa daang Anloague, at yamang hindî namin natatandâan ang canyang bilang (número), aming sásaysayin ang canyang anyô upang makilala ng̃ayón, sacali't hindî pa iguiniguibá ng̃ mg̃a lindól."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,6,"Hindî camí naniniwalang ipinaguibâ ang bahay na iyon ng̃ may-arì, sa pagca't sa ganitong gawa'y ang namamahala'y ang Dios ó ang Naturaleza, na tumanggap din sa ating Gobierno ng̃ pakikipagcayarì upang gawín ang maraming bagay.—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mg̃a lupaíng itó; natatayô sa pampang ng̃ ilog na sang̃á ng̃ ilog Pasig, na cung tawaguin ng̃ iba'y ""ría"" (ilat) ng̃ Binundóc, at gumáganap, na gaya rin ng̃ lahát ng̃ ilog sa Maynílà, ng̃ maraming capacan-ang pagcapaliguan, agusán ng̃ dumí, labahan, pinang̃ing̃isdâan, daanan ng̃ bangcang nagdádala ng̃ sarisaring bagay, at cung magcabihirà pa'y cucunán ng̃ tubig na inumín, cung minamagalíng ng̃ tagaiguib na insíc."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,7,"Dapat halataíng sa lubháng kinakailang̃ang gamit na itó ng̃ nayong ang dami ng̃ calacal at táong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagyâ na lamang nagcaroon ng̃ isang tuláy na cahoy, na sa anim na bowa'y sirâ ang cabiláng panig at ang cabilâ nama'y hindî maraanan sa nálalabi ng̃ taon, na ano pa't ang mg̃a cabayo, cung panahóng tag-init, canilang sinasamantala ang gayong hindî nagbabagong anyô, upang mulà roo'y lumucsó sa tubig, na ikinagugulat ng̃ nalilibang na táong may camatayang sa loob ng̃ coche ay nacacatulog ó nagdidilidili ng̃ mg̃a paglagô ng̃ panahón."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,8,"May cababâan ang bahay na sinasabi namin, at hindî totoong magaling ang pagcacàanyô; cung hindî napagmasdang mabuti ng̃ ""arquitectong"" namatnugot sa paggawâ ó ang bagay na ito'y cagagawán ng̃ mg̃a lindól at mg̃a bagyó, sino ma'y walang macapagsasabi ng̃ tucoy."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,9,"Isáng malapad na hagdanang ma'y cacapitáng culay verde, at nalalatagan ng̃ alfombra sa mumunting panig ang siyang daanan mulâ sa silong ó macapasoc ng̃ pintuang nalalatagan ng̃ ""azulejos"" hanggang sa cabahayán, na ang linalacara'y napapag-itanan ng̃ mg̃a maceta at álagaan ng̃ mg̃a bulaclac na nacalagay sa ""pedestal"" na lozang gawâ sa China, na may sarisaring culay at may mg̃a dibujong hindî mapaglirip."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,10,"Yamang walang bantay-pintô ó alilang huming̃î ó magtanong ng̃ ""billete"" ó sulat na anyaya, tayo'y pumanhic, ¡oh icaw na bumabasa sa akin, catoto ó caaway! sacali't naaakit icaw ng̃ tugtog ng̃ orquesta, ng̃ ilaw ó ng̃ macahulugáng ""clin-clan"" ng̃ mg̃a pingga't cubiertos at ibig mong mapanood cung paano ang mg̃a piguíng doon sa Perla ng̃ Casilang̃anan."
