dataset,chapter_number,sentence_number,source_form,target_form,context_snippet
noli,1,3,boong,buong,"Cawangis ng kislap ng lintic ang cadalian ng pagcalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa canyang walang hanggang cabaitan, at canyang pinararami ng boong pag-irog sa Maynila."
noli,1,3,pagcalaganap,pagkalaganap,"Cawangis ng kislap ng lintic ang cadalian ng pagcalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa canyang walang hanggang cabaitan, at canyang pinararami ng buong pag-irog sa Maynila."
noli,1,7,pagcapaliguan,pagkapaliguan,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagcapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
noli,1,9,pagcacaanyo,pagkakaanyo,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagcacaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy."
noli,1,11,pumanhic,pumanhik,"Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhic, ¡oh ikaw na bumabasa sa akin, catoto o kaaway!"
noli,1,14,pumanhic,pumanhik,"—Kung pumanhic tayo'y agad nating mararating ang isang malowang na tahanang kung tawaguin doo'y ""caida"", ayawan kung bakit, na ng gabing ito'y guinagamit na ""comedor"" at tuloy salon ng orquesta."
noli,1,16,pagcamatay,pagkamatay,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagcamatay ng banal,"" ""Ang pagcamatay ng macasalanan,"" at sa duyo'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo'y napapanood ang dalawang matandang babae."
noli,1,16,pagcamatay,pagkamatay,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagcamatay ng banal,"" ""Ang pagcamatay ng macasalanan,"" at sa duyo'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo'y napapanood ang dalawang matandang babae."
noli,1,17,pagcacasakit,pagkakasakit,"Ganito ang saysay ng doo'y titic: ""Nuestra Señora de la Paz y Buen Viaje, na sinasamba sa Antipolo, sa ilalim ng anyong babaeng magpapalimos, dinadalaw sa canyang pagcacasakit ang banal at bantog na si Capitana Ines""."
noli,1,18,pagcacasakit,pagkakasakit,"Tunay mang ang pagcacapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasaysay naman ng caraniwang mamalas: ang babaeng may sakit ay tila na bangcay na nabubuloc, dahil sa culay dilaw at azul ng canyang mukha; ang mga vaso't iba pang mga casangcapan, iyang maraming mga natitipong bagay bagay sa mahabang pagcacasakit ay doo'y lubhang mabuti ang pagcacasipi, na ano pa't napapanood pati ng linalaman."
noli,1,18,pagcacapinta'y,pagkakapinta'y,"Tunay mang ang pagcacapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasaysay naman ng caraniwang mamalas: ang babaeng may sakit ay tila na bangcay na nabubuloc, dahil sa culay dilaw at azul ng canyang mukha; ang mga vaso't iba pang mga casangcapan, iyang maraming mga natitipong bagay bagay sa mahabang pagkakasakit ay doo'y lubhang mabuti ang pagcacasipi, na ano pa't napapanood pati ng linalaman."
