sentence_id,original_token,new_token,reason,context_snippet
1-17,Capitan,Kapitan,Capitan Policy,Nang umagang iyon ay lalo pang namumuhi si aling V...
1-121,Capitan,Kapitan,Capitan Policy,Walang makapangahas na makisali sa gayong mga pag-...
4-90,Capitan,Kapitan,Capitan Policy,Dahil dito’y pumanaog ang isang utos ng Capitan Ge...
7-14,Capitan,Kapitan,Capitan Policy,"Kung gayon ay ang mag-aalahas na si Simoun, na ina..."
10-9,Capitan,Kapitan,Capitan Policy,Balitang balita na ang mag-aalahas ay kaibigan ng ...
11-1,Capitan,Kapitan,Capitan Policy,Ang kataastaasang Capitan General at Namamahala sa...
11-79,Capitan,Kapitan,Capitan Policy,Idinugtong pang ipinakukumusta raw sa kaniya ang C...
11-85,Capitan,Kapitan,Capitan Policy,Custodio; tunay ngang isang amerikanong mulato na ...
11-89,Capitan,Kapitan,Capitan Policy,"—Oo, gaya ko, gaya natin, tayo’y mangagtapat; dito..."
11-269,Capitan,Kapitan,Capitan Policy,Tumindig ang Capitan General at sa gayo’y naputol ...
16-25,Capitan,Kapitan,Capitan Policy,Nakapaghapunan na si Simoun ng dumating at nakikip...
16-47,Capitan,Kapitan,Capitan Policy,Iginagalang na lubha ng insik na si Quiroga ang ma...
16-49,Capitan,Kapitan,Capitan Policy,Idinaragdag pa ng ilan kataong malumanay na iniuud...
22-4,Capitan,Kapitan,Capitan Policy,May tatlo o apat na palko lamang ang walang laman ...
22-36,Capitan,Kapitan,Capitan Policy,Nadingig ang pasuwitan at galit na lumingon ang gi...
22-54,Capitan,Kapitan,Capitan Policy,Bahagya na niyang napuna ang nangyari sa ginoong a...
22-66,Capitan,Kapitan,Capitan Policy,Quoi v’la tous les cancans d’la s’maine!.... ang a...
22-208,Capitan,Kapitan,Capitan Policy,"—Sa mabuti sa lahat, ang sinusundan ng tingin ng C..."
28-12,Capitan,Kapitan,Capitan Policy,"Nang ika labing-isa ng umaga, kahi’t na patuloy an..."
28-25,Capitan,Kapitan,Capitan Policy,"Alinsunod sa kaniya, ay may mga taong nag-uudyok s..."
32-5,Capitan,Kapitan,Capitan Policy,"Sa harap ng gayong pagkadiwara, ang mayamang si Ma..."
33-5,Capitan,Kapitan,Capitan Policy,"Aalis na nga siyang kasama ng Capitan General, na ..."
34-35,Capitan,Kapitan,Capitan Policy,Matutupad nang madali sa iyo ang mga kahangahangan...
34-36,Capitan,Kapitan,Capitan Policy,” Ang Capitan General ay inaama ng kaniyang anak!...
35-17,Capitan,Kapitan,Capitan Policy,Si D. Timoteo ay nagdaramdam na ng pananakit ng ba...
35-27,Capitan,Kapitan,Capitan Policy,—¡Ang Capitan General!...
35-87,Capitan,Kapitan,Capitan Policy,Hindi pa dumarating ang Capitan General!...
