sentence_id,original_token,new_token,reason,context_snippet
1-1,canyang,kanyang,Safe List: canyang,"Nag-anyaya ng pagpapacain nang isang hapunan, ng m..."
1-2,canyang,kanyang,Safe List: canyang,Ng panahong yao'y lumalagay si Kapitang Tiagong is...
1-2,canyang,kanyang,Safe List: canyang,Ng panahong yao'y lumalagay si Kapitang Tiagong is...
1-3,canyang,kanyang,Safe List: canyang,Cawangis ng kislap ng lintic ang cadalian ng pagka...
1-3,canyang,kanyang,Safe List: canyang,Cawangis ng kislap ng lintic ang cadalian ng pagka...
1-5,canyang,kanyang,Safe List: canyang,Ginawa ang anyaya sa paghapong ito sa isang bahay ...
1-5,canyang,kanyang,Safe List: canyang,Ginawa ang anyaya sa paghapong ito sa isang bahay ...
1-10,bulaclac,bulaklak,Safe List: bulaclac,Isang malapad na hagdanang ma'y cacapitang culay v...
1-17,canyang,kanyang,Safe List: canyang,"Ganito ang saysay ng doo'y titic: ""Nuestra Señora ..."
1-18,canyang,kanyang,Safe List: canyang,Tunay mang ang pagkakapinta'y hindi nagpapakilala ...
1-19,canyang,kanyang,Safe List: canyang,Sa panonood ng mga calagayang iyong umaakit sa pag...
1-24,canyang,kanyang,Safe List: canyang,"Magaganda ang mga casangcapan, baga man marahil ay..."
1-30,capitan,kapitan,Capitan Policy,Ang tanging sumasalubong sa pagdating ng mga ginoo...
1-31,canyang,kanyang,Safe List: canyang,Ang pinacaubod ng canyang pagpapakitang loob at pa...
1-31,canyang,kanyang,Safe List: canyang,Ang pinacaubod ng canyang pagpapakitang loob at pa...
1-41,canyang,kanyang,Safe List: canyang,"—Ang isa sa mga fraile'y isang dominicong bata pa,..."
1-44,canyang,kanyang,Safe List: canyang,Hindi nagsasalita ang dominico at tila mandin pina...
1-46,canyang,kanyang,Safe List: canyang,Baga man sumusungaw na ang mga uban sa canyang bal...
1-46,lacas,lakas,Safe List: lacas,Baga man sumusungaw na ang mga uban sa canyang bal...
1-46,canyang,kanyang,Safe List: canyang,Baga man sumusungaw na ang mga uban sa canyang bal...
1-47,canyang,kanyang,Safe List: canyang,"Ang mukha niyang maganda ang tabas, ang canyang mg..."
1-47,canyang,kanyang,Safe List: canyang,"Ang mukha niyang maganda ang tabas, ang canyang mg..."
1-47,canyang,kanyang,Safe List: canyang,"Ang mukha niyang maganda ang tabas, ang canyang mg..."
1-47,canyang,kanyang,Safe List: canyang,"Ang mukha niyang maganda ang tabas, ang canyang mg..."
1-48,canyang,kanyang,Safe List: canyang,Datapwat si Fray Damaso'y hindi mahiwagang gaya ni...
1-48,canyang,kanyang,Safe List: canyang,Datapwat si Fray Damaso'y hindi mahiwagang gaya ni...
1-48,canyang,kanyang,Safe List: canyang,Datapwat si Fray Damaso'y hindi mahiwagang gaya ni...
1-49,buhoc,buhok,Safe List: buhoc,"Ang isa sa mga paisano'y isang taong malingguit, m..."
