chapter_number,original_title,normalized_title,notes
1,ISANG PAGCACAPISAN.,ISANG PAGKAKAPISAN.,Normalized: PAGCACAPISAN->PAGKAKAPISAN
8,MANGA ALAALA,MGA ALAALA,Normalized: MANGA->MGA
9,MANGA CAUGALIAN NG BAYANG ITO,MGA KAUGALIAN NG BAYANG ITO,"Normalized: MANGA->MGA, CAUGALIAN->KAUGALIAN"
11,ANG MANgA MACAPANGYARIHAN,ANG MGA MAKAPANGYARIHAN,"Normalized: MANGA->MGA, MACAPANGYARIHAN->MAKAPANGYARIHAN"
12,ANG LAHAT NANG MANGA SANTO[210],ANG LAHAT NANG MGA SANTO,Normalized: MANGA->MGA
18,MGA CALOLOWANG NAGHIHIRAP,MGA KALULUWANG NAGHIHIRAP,Normalized: CALOLOWANG->KALULUWANG
21,CASAYSAYAN NANG BUHAY NANG ISANG INA,KASAYSAYAN NANG BUHAY NANG ISANG INA,Normalized: CASAYSAYAN->KASAYSAYAN
22,MANGA ILAW AT MGA DILIM,MGA ILAW AT MGA DILIM,Normalized: MANGA->MGA
28,MANgA SULAT,MGA SULAT,Normalized: MANGA->MGA
34,ANG PAGCAIN.,ANG PAGKAIN.,Normalized: PAGCAIN->PAGKAIN
40,ANG CATUWIRA'T ANG LACAS.,ANG KATUWIRA'T ANG LAKAS.,"Normalized: CATUWIRA'T->KATUWIRA'T, LACAS->LAKAS"
43,MGA PANUCALA.,MGA PANUKALA.,Normalized: PANUCALA->PANUKALA
48,ANG HINDI MAGCURO,ANG HINDI MAGKURO,Normalized: MAGCURO->MAGKURO
49,ANG TINGIG Ng MgA PINAG-UUSIG.,ANG TINGIG NG MGA PINAG-UUSIG.,Normalized (Formatting/Artifacts)
52,ANG SULAT Ng MgA PATAY AT ANG MgA ANINO.,ANG SULAT NG MGA PATAY AT ANG MGA ANINO.,Normalized (Formatting/Artifacts)
56,¡VAE VICTIS![261],¡VAE VICTIS!,Formatting/Cleaning only (Foreign preserved)
58,ANG KINAGUISNANG BAYAN AT ANG MgA PAG-AARI.,ANG KINAGISNANG BAYAN AT ANG MGA PAG-AARI.,Normalized: KINAGUISNANG->KINAGISNANG
62,ANG GABING SINUSUNDAN Ng PASCO Ng PANgANgANAC.,ANG GABING SINUSUNDAN NG PASCO NG PANGANGANAC.,Normalized (Formatting/Artifacts)
63,PANGWACAS NA BAHAGUI.,PANGWAKAS NA BAHAGI.,"Normalized: PANGWACAS->PANGWAKAS, BAHAGUI->BAHAGI"
