token,count,category,proposed_modern_form,confidence,notes
canyang,1986,A,kanyang,Medium,Specific Archaic: canyang
cura,194,B,,Medium,Common Spanish Loan
Clara,193,C,,High,Proper Noun (Contains c)
Victorina,102,C,,High,Proper Noun (Contains c)
Custodio,90,C,,High,Proper Noun (Capitalized ca/co/cu)
voces,88,B,,Medium,Spanish/Foreign pattern (ce/ci)
Capitan,85,A,Kapitan,Medium,Specific Archaic: capitan
Alcalde,77,C,,High,Proper Noun (Contains c)
Placido,76,C,,High,Proper/Spanish
bulaclac,70,A,bulaklak,Medium,Specific Archaic: bulaclac
Crisostomo,64,C,,High,Proper Noun (Contains c)
buhoc,64,A,buhok,Medium,Specific Archaic: buhoc
convento,64,B,,Medium,Common Spanish Loan
lacas,63,A,lakas,Medium,Specific Archaic: lacas
Camorra,62,C,,High,Proper Noun (Capitalized ca/co/cu)
acala,60,A,akala,Medium,Specific Archaic: acala
insic,58,A,intsik,Medium,Specific Archaic: insic
cang,56,A,kang,Medium,Specific Archaic: cang
culay,55,A,kulay,Medium,Specific Archaic: culay
caunti,55,A,kaunti,Medium,Specific Archaic: caunti
catungculan,54,A,katungkulan,Medium,Archaic ca/co/cu start
catuwiran,53,A,katuwiran,Medium,Archaic ca/co/cu start
manoc,53,A,manok,Medium,Archaic ending -c
civil,53,B,,Medium,Spanish/Foreign pattern (ce/ci)
capitan,52,A,kapitan,Medium,Specific Archaic: capitan
bucas,51,A,bukas,Medium,Specific Archaic: bucas
malacas,51,A,malakas,Medium,Archaic intervocalic c
kinacailangang,51,A,kinakailangang,Medium,Archaic intervocalic c
casalanan,50,A,kasalanan,Medium,Specific Archaic: casalanan
sacristan,47,E,,Medium,Uncertain
capuwa,47,A,kapuwa,Medium,Specific Archaic: capuwa
Crispin,47,C,,High,Proper Noun (Contains c)
bangca,47,E,,Medium,Uncertain
sacali't,46,A,sakali't,Medium,Archaic intervocalic c
magcaroon,46,A,magkaroon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
culang,46,A,kulang,Medium,Archaic ca/co/cu start
nauucol,45,A,nauukol,Medium,Archaic intervocalic c
cawacasa'y,45,A,kawakasa'y,Medium,Archaic ca/co/cu start
bucod,44,A,bukod,Medium,Archaic intervocalic c
bangcay,43,E,,Medium,Uncertain
inaacala,42,A,inaakala,Medium,Archaic intervocalic c
cabuluhan,42,A,kabuluhan,Medium,Archaic ca/co/cu start
gobernadorcillo,42,B,,Medium,Spanish/Foreign pattern (ce/ci)
cawangis,41,A,kawangis,Medium,Archaic ca/co/cu start
wica,41,A,wika,Medium,Specific Archaic: wica
sacerdote,40,B,,Medium,Spanish/Foreign pattern (ce/ci)
pagdaca'y,40,A,pagdaka'y,Medium,Archaic intervocalic c
tacot,40,A,takot,Medium,Archaic intervocalic c
caunting,39,A,kaunting,Medium,Archaic ca/co/cu start
caisipan,39,A,kaisipan,Medium,Archaic ca/co/cu start
camahalan,38,A,kamahalan,Medium,Archaic ca/co/cu start
pagtataca,37,A,pagtataka,Medium,Archaic intervocalic c
magcagayo'y,37,A,magkagayo'y,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cagalingan,37,A,kagalingan,Medium,Archaic ca/co/cu start
catahimican,36,A,katahimikan,Medium,Archaic ca/co/cu start
cahulugan,36,A,kahulugan,Medium,Archaic ca/co/cu start
imic,36,A,imik,Medium,Archaic ending -c
Pecson,35,C,,High,Proper Noun (Contains c)
paglacad,35,A,paglakad,Medium,Archaic intervocalic c
cata,34,A,kata,Medium,Archaic ca/co/cu start
franciscano,34,B,,Medium,Spanish/Foreign pattern (ce/ci)
calooban,33,A,kalooban,Medium,Archaic ca/co/cu start
curang,33,A,kurang,Medium,Archaic ca/co/cu start
musica,33,A,musika,Medium,Archaic intervocalic c
canicanilang,33,A,kanikanilang,Medium,Archaic ca/co/cu start
sucat,33,A,sukat,Medium,Archaic intervocalic c
caming,33,A,kaming,Medium,Archaic ca/co/cu start
Civil,32,C,,High,Proper/Spanish
panucala,32,A,panukala,Medium,Archaic intervocalic c
carapatdapat,32,A,karapatdapat,Medium,Archaic ca/co/cu start
pumasoc,32,A,pumasok,Medium,Archaic ending -c
calolowa,32,A,kaluluwa,Medium,Specific Archaic: calolowa
macaraan,31,A,makaraan,Medium,Archaic intervocalic c
cagalanggalang,31,A,kagalanggalang,Medium,Archaic ca/co/cu start
icagagaling,31,A,ikagagaling,Medium,Archaic intervocalic c
Lucas,31,C,,High,Proper Noun (Contains c)
Tiburcio,30,C,,High,Proper/Spanish
doctor,30,E,,Medium,Uncertain
