token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
caunti,55,0,C_TO_K,kaunti,HIGH,SAFE,"[""35: Tungkol sa mga lalaki'y nangagcacainga'y ng caunti."", '67: Sa pangguiguilalas ng di ano lamang ni Fr. Damaso ay caunti nang mabitiwan nito ang copa.', '82: ipatawad po ninyong salabatin ko ang inyong pananalita—anang binata, na idinahan ang voces at inilapit ng caunti ang kanyang upuan; sinabi po ninyo ang isang salita na totoong nacaakit sa aking magdilidili.']"
catungculan,54,0,C_TO_K,katungkulan,HIGH,SAFE,"[""63: May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na parang siya'y aking ipinanganac at pinasuso: nalalaman ko kung alin ang mga lisyang caasalan nito, kung ano ang pinangangailangan niyon, kung sino ang nangingibig sa bawa't dalaga, kung ano anong mga pagkadupilas ang nangyari sa babaeng ito, kung sino ang tunay na ama ng batang inianac, at iba pa; palibhasa'y kinucumpisal ko ang calahatlahatang taong-bayan; nangag-iingat ng mainam sila sa canicanilang catungculan."", '106: —¿Naparito ba kayong may catungculan?', '514: Napilitang iwan ng ""alcade"" ang kanyang catungculan, hinalinhan siya ng ibang, ayon sa balita\'y, masintahin sa catuwiran, ngunit sa casaliwaang palad, ito\'y ilang buwan lamang nanatili roon, at ang napahalili sa kanya\'y napacalabis naman ang pagka maibiguin sa mabuting kabayo.']"
catuwiran,53,0,C_TO_K,katuwiran,HIGH,SAFE,"[""74: Ngayo'y ang may pulang buhok naman ang natigagal, lalong ikinunot ng teniente ang kanyang mga kilay, iguinagalaw ang ulo ng taong bulilit na parang ipinahahalata niyang binibigyan niyang catuwiran o hindi si Fray Damaso."", ""175: Isang taong gaya niyang may isang anak na lalaking kinabubuhusan ng buong pag-irog at mga pag-asa, isang taong may pananampalataya sa Dios, na nacacaalam ng kanyang mga catungculang dapat ganapin sa pamamayan, isang taong mapagmahal sa capurihan at hindi sumisinsay sa catuwiran, ang ganyang tao'y hindi nagpapacamatay."", '500: Kung naging iba sana ang inyong ama, marahil pagdaca\'y nacawala, sa pagka\'t may isang malicong nagsaysay, na ang ikinamatay ng kulang palad na maniningil ay mula sa isang ""congestion""; ngunit ang kanyang cayamanan, ang kanyang pananalig sa catuwiran at ang kanyang galit sa lahat ng hindi naaayon sa cautusan o sa catuwiran ang sa kanyang nangagpahamac.']"
acala,53,0,C_TO_K,akala,HIGH,SAFE,"[""398: ¡Ang acala nila'y mga taong may cahulugan na!"", ""427: —Ipatawad po ninyo; ngunit sa acala ko'y inyong pinacamahal ang aking ama; ¿maaari po bang sabihin ninyo sa akin kung ano ang kanyang kinahinatnan?"", ""447: —Sa acala ko'y hindi ako namamali; si Don Rafael Ibarra.""]"
kinacailangang,51,0,C_TO_K,kinakailangang,HIGH,SAFE,"['1366: Matutubos ng mga buhay ang mga calolowang namatay sa casalanan, sa pagsasalita ng mga nasasaysay sa ""Avestra"" at gumawa ng mga cagalingan; datapwat kinacailangang ang mananalangin ay isang camag-anak ng nasira hanggang sa icaapat na salin.', '1554: ""—Datapwat kinacailangang patayin mo ang mga apoy na ito—ang wika ng voces na kanyang narinig sa sermon—kinacailangang ikaw ay magpacahirap.', '1554: ""—Datapwat kinacailangang patayin mo ang mga apoy na ito—ang wika ng voces na kanyang narinig sa sermon—kinacailangang ikaw ay magpacahirap.']"
casalanan,50,0,C_TO_K,kasalanan,HIGH,SAFE,"[""169: —ang isinalabat ng militar, na nakikita niyang siya'y nabibilot ng gayong caraming mga pag tatangitangi, at nanganganib siyang kung mapapatuloy ay siya pa ang lalabas na may casalanan."", ""471: Binibigyang casalanan siya ni pari Damasong hindi raw siya nagcucumpisal: ng una'y dating hindi siya nangungumpisal, gayon ma'y magcaibigan silang matalic, na marahil natatandaan pa po ninyo."", '472: Bucod sa rito\'y totoong dalisay ang capurihan ni Don Rafael, at higuit ang kanyang pagkabanal sa maraming nangagcucumpisal at nangagpapacumpisal: may tinutunton siya sa kanyang sariling isang cahigpithigpitang pagsunod sa atas ng magandang asal, at madalas sabihin sa akin, pagka nasasalita niya ang mga samaang ito ng loob: ""Ginoong Guevara, ¿sinasampalatayanan po ba ninyong pinatatawad ng Dios ang isang mabigat na casalanan, ang isang kusang pagpatay sa capuwa tao, sa halimbawa, pagka, nasabi na sa isang sacerdote; na tao rin namang may catungculang maglihim ng sa kanya\'y sinasaysay, at matakot masanag sa infierno, na siyang tinatawag na pagsisising ""atricion""?']"
bangca,47,0,C_TO_K,bangka,HIGH,SAFE,"[""1937: Sa mga unang sinag ng liwanag na pumupucaw sa tubig nang mga nagkintabkintab na mga lamang-dagat, naaaninagnagan sa malayo, halos sa wacas ng abot ng tanaw, ang abo-abong mga anino: yao'y ang mga bangca ng mga mangingisdang nagliligpit ng kanilang lambat; mga casco at mga paraw na nangaglaladlad ng kanilang mga layag."", '2294: Macapagtatatag tayo ng isang unahan ng patacbuhan ng mga bangca sa ilog at sa dagatan, patacbuhan ng mga kabayo; magtayo ng mga ""palosebo"" at mag-anyo ng mga larong mangyayaring makisama ang tagabukid natin.', '2543: Ngunit namamasid kong ikaw ay namumuhi; howag kang manimdim at hindi macasasama siya sa atin sa bangca.']"
magcaroon,46,0,C_TO_K,magkaroon,HIGH,SAFE,"['111: ¡Ganyang caraming mga libro ... sukat na ang magcaroon ng dalawang daling noo....', '113: ¡Sukat na ang magcaroon ng dalawang daling noo....', ""376: Napatingin na lamang sa kanya si Ibarra't hindi maalaman kung ano ang sasabihin; ang mga iba'y nangagtitinginan sa pagkataca at nanganganib na magcaroon ng caguluhan.""]"
sacali't,46,0,C_TO_K,sakali't,HIGH,SAFE,"[""4: Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang kanyang bilang (numero), aming sasaysayin ang kanyang anyo upang makilala ngayon, sacali't hindi pa iguiniguiba ng mga lindol."", '11: sacali\'t naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga\'t cubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan.', '167: Ang mga sinasabing ""in corde"" lamang ang macasasakit ng loob: sacali\'t dating tinataglay ng ""in meate"" sa isang cadahilanan, o kung nasabi lamang ""per accidens"", sa pagkakainitan ng salitaan, kung mayroong....']"
capuwa,46,0,C_TO_K,kapuwa,HIGH,SAFE,"[""296: Baga man hindi sinasadya'y capuwa tumungo ang dalawang fraile sa duyo o ulunan ng mesa, marahil sa pagka't siyang pinagcaratihan nila at nangyari nga ang mahihintay, na tulad sa nangagpapangagaw sa isang catedra: pinupuri sa mga pananalita ang mga carapatan at cataasan ng isip ng mga capangagaw; datapua't pagdaca'y ipinakikilala ang pabaligtad, at nangag-uungol at nangag-uupasala kung hindi sila ang macapagtamo ng kanilang hangad."", '472: Bucod sa rito\'y totoong dalisay ang capurihan ni Don Rafael, at higuit ang kanyang pagkabanal sa maraming nangagcucumpisal at nangagpapacumpisal: may tinutunton siya sa kanyang sariling isang cahigpithigpitang pagsunod sa atas ng magandang asal, at madalas sabihin sa akin, pagka nasasalita niya ang mga samaang ito ng loob: ""Ginoong Guevara, ¿sinasampalatayanan po ba ninyong pinatatawad ng Dios ang isang mabigat na casalanan, ang isang kusang pagpatay sa capuwa tao, sa halimbawa, pagka, nasabi na sa isang sacerdote; na tao rin namang may catungculang maglihim ng sa kanya\'y sinasaysay, at matakot masanag sa infierno, na siyang tinatawag na pagsisising ""atricion""?', ""609: Ang mga di gumagalang sa religio'y ipinalalagay siyang haling; ipinalalagay siya ng mga dukhang walang awa, tampalasan, mapagsamantala ng cahirapan ng capuwa, at ipinalalagay naman ng mga mabababa sa kanyang siya'y totoong malabis umalipin at mapagpahirap.""]"
cawacasa'y,45,0,C_TO_K,kawakasa'y,HIGH,SAFE,"[""31: Sa cawacasa'y nayamot ang abang matandang babae, kaya't sinamantala niya ang paglagapac ng isang pinggang nabasag upang lumabas na dalidali at nagbububulong:"", ""77: —ang sa cawacasa'y nagawang tanong ng buong catimpian ng binata, na tinititigan ng buong pagtataca ang fraile."", ""184: —Datapwat kung sa cawacasa'y nakinabang naman kayo sa pagpapalit-bayan....""]"
nauucol,45,0,C_TO_K,nauukol,HIGH,SAFE,"['15: Namumucod ng di ano lamang sa mga ganitong handang sa mundo\'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagkamatay ng banal,"" ""Ang pagkamatay ng macasalanan,"" at sa duyo\'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo\'y napapanood ang dalawang matandang babae.', ""312: Datapwat ayon sa anyo ng kanyang pananalita'y sa kanya rin nauucol ang upuang iyon, kahi't na sa mundo."", '560: "" Kasundo niya ang lahat ng mga pinuno, matalino, magaling makibagay at may pagkapangahas, pagka nauucol sa pagsasamantala ng mga pagka ilang ng iba; siya ang tanging pinanganganibang capangagaw ng isang nagngangalang Perez, tungkol sa mga ""arriendo"" at mga ""subasta"" ng mga sagutin o pangangatungculang sa towi na\'y ipinagcacatiwala ng Gobierno ng Filipinas sa mga kamay ng mga ""particular"".']"
bucod,43,0,C_TO_K,bukod,HIGH,SAFE,"['96: Hindi ipinalalagay ni Santiagong siya\'y ""indio,"" bucod sa roo\'y hindi siya nahaharap, at....', ""676: —ang ipinaalaala ni tia Isabel;—bucod sa roo'y lalong mabuti ang bahay natin doon, at saka malapit na ang fiesta."", '724: Sa aking sapantaha\'y ikaw ang ""hada"", ang espiritu, ang caayaayang kinacatawan ng aking Bayang kinaguisnan, maganda, mahinhin, masintahin, lubos calinisan, anak ng Filipinas, niyang cagandagandahang lupang bucod sa mga dakilang cagalingan ng Inang Españang taglay rin niya\'y may maririkit pang mga hiyas ng isang bayang bata, tulad sa pagkakapisan sa iyong cataohan ng lahat ng cagandahan at carikitang nacapagpapaningning sa dalawang lahi; kaya nga\'t nabubuo lamang sa isa ang pagsinta ko sa iyo\'t ang pagsinta ko sa aking tinubuang lupa ...']"
cabuluhan,42,0,C_TO_K,kabuluhan,HIGH,SAFE,"['263: Sinabi naman sa kanya ng kanyang mga kausap ang canicanilang mga pangalang humiguit cumulang ang pagka walang cabuluhan, humiguit cumulang ang pagka hindi nakikilala nino man.', '407: "" At kasama ng mga iba\'t ibang paunawa ang mga ganito:—""Ang taong lalong walang cabuluhan sa Filipinas sa isang hapunan o casayahan ay ang nagpapahapon o nagpapafiesta: macapagpapasimula sa pagpapalayas sa may bahay at mananatili ang lahat sa buong capanatagan.', ""510: Sagana ang mga sacsing sabuat, at ang kanilang mga paratang, na sa ibang lugar ay mawawal-ang cabuluhan sa isang salitang palibac o patuya ng nagsasanggalang, dito'y tumitibay at tumitigas.""]"
